Keywords,Types,ToD
(wanted|needed|required|latest|upgrade|purchased).*(big.*| fast.*|better|small.*|modern|improve.*)|(big.*|fast.*|better|small.*|modern|improve.*).*(wanted|needed|required|latest|upgrade|purchased),Upgrade,Triggers_Upgrade
replac.*|switch.*,Replace,Triggers_Replace
(first device|first visit|first-time.*|firstime.*| firsttime.*|first product |first purchase |I am new |I am a new.*)|(purchase.*|brought|buy.*|bought.*),FirstTimeBuyer,Triggers_FirstTimeBuyer
gift.*|.*gift|birthday present|wedding present|a present |christmas present |xmas present ,Gift,Triggers_Gift
deal.*|promo.*|rebate.*|sale.*|sweepstake.*|coupon.*| cupon.*|cuopon.*|discount.*| offer.*,Marketing-Sale,Triggers_Marketing-Sale
(Whirlpool|KitchenAid|Dylan|Maytag|Sony|Philips|Phillips|Hotpoint|indesit|Amana|Apple|iPhone|iPad|iPod|Jenn-Air|Gladiator|Hotpoint|Roper|GE|Samsung|JBL|JustBeLoud|Just Be Loud|Kenmore|Bosch|LG|Broan|Beko|Dacor|zanussi|Bush|hoover|Panasonic|smeg|Electrolux|neff|Candy|aeg|Sharp|Miele|baumatic|Siemens|New World|belling|Russell Hobbs|Monogram|newworld|Haier|LEC|Summit Appliance|Magic|NuTone|Daewoo|fridgemaster|Essentials|Golden|swan|DeLonghi|De Longhi|Servis|Stoves|electra|Premier|Oster|Danby|Fisher|AKDY|Hisens|InSinkErator|Zephyr|Kenwood|LOGIK|Avanti|Thermador|Waste King|Morphy Richards|RCA|Cookworks|Grundig|leisure|Magic Chef|White Knight|Viking|Wolf|Arietta|Emerson|Hamilton Beach|Presenza|Sunbeam|this brand)|(trust.*|recommend.*|love|satisfied|reliab.*|confident|genuine|depend.*),Brand,Drivers_Brand
(inexpensive|value for money|affordable|low price|vfm|great price|amazing price|excellent price|low cost|amazing value|a steal|peanuts|good price|awesome price|economical|nominal|cheaply available)|(energy.*|.*power.*|.*saving),Cost,Drivers_Cost
(recommend.*|suggest.*|propose.*|endors.*|advocate.*)|(friend.*|representative|sales.*|family|cousin|someone|expert),Recommendation,Drivers_Recommendation
(innovat.*|technology)|(idea.?|addon.?|add-on.?|feature.*|attribute.*|characteristic.*|aspect|element),Innovation,Drivers_Innovation
ad.?advert.*|marketing|mktg|commercial.?|comercial.?|tv spot.?|radio spot.?|billboard.?|bilboard.?|bill board.?|sponsor.*|on tv| on television|on the tv|on the television|on radio|on the radio|target audience.?|signage|plastered outside|plastered outdoor|plastered all over|signs|banner.*|poster.*,Marketing-Ads,Drivers_Marketing-Ads
