driver,pBrand,pCategory,pDescr,pImgSrc,pModel,pTitle,pURL,price,rDate,rRating,rText,rTitle,rURL,rUser,sentiConfi,sentiment,siteCode,trigger
 ,Prestone,Coolant,"Style:AF2100
Prestone Extended Life Antifreeze (50/50) features a blend of 50 percent antifreeze/coolant for temperature and corrosion protection and 50 percent demineralized water for heat transfer protection, and is compatible with any antifreeze/coolant, regardless of color. For use in all makes and models of cars and light duty trucks, this patented formula provides a high degree of performance durability and carefully balanced protection against temperature extremes and rust corrosion of all cooling system metals, including aluminum. Good for 5 years or 150,000 miles, this antifreeze meets or exceeds ASTM D3306 and D4985 for corrosion protection.",https://images-na.ssl-images-amazon.com/images/I/81JZcGECVML._SY550_.jpg,B000GKTYNI,Prestone AF2100 Extended Life 50/50 Antifreeze - 1 Gallon,https://www.amazon.com/Prestone-AF2100-Extended-Life-Antifreeze/dp/B000GKTYNI/ref=sr_1_1?ie=UTF8&qid=1495087869&sr=8-1&keywords=Coolant,#N/A,2017-05-17 00:00:00,5.0,works great engine is cooler in my '00 Buick,Five Stars,https://www.amazon.com/Prestone-AF2100-Extended-Life-Antifreeze/product-reviews/B000GKTYNI/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Peter L., , ,AM, 
 ,Prestone,Coolant,"Style:AF2100
Prestone Extended Life Antifreeze (50/50) features a blend of 50 percent antifreeze/coolant for temperature and corrosion protection and 50 percent demineralized water for heat transfer protection, and is compatible with any antifreeze/coolant, regardless of color. For use in all makes and models of cars and light duty trucks, this patented formula provides a high degree of performance durability and carefully balanced protection against temperature extremes and rust corrosion of all cooling system metals, including aluminum. Good for 5 years or 150,000 miles, this antifreeze meets or exceeds ASTM D3306 and D4985 for corrosion protection.",https://images-na.ssl-images-amazon.com/images/I/81JZcGECVML._SY550_.jpg,B000GKTYNI,Prestone AF2100 Extended Life 50/50 Antifreeze - 1 Gallon,https://www.amazon.com/Prestone-AF2100-Extended-Life-Antifreeze/dp/B000GKTYNI/ref=sr_1_1?ie=UTF8&qid=1495087869&sr=8-1&keywords=Coolant,#N/A,2017-05-12 00:00:00,5.0,its prestone what can you say good stuff,Five Stars,https://www.amazon.com/Prestone-AF2100-Extended-Life-Antifreeze/product-reviews/B000GKTYNI/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,John, , ,AM, 
 ,Prestone,Coolant,"Style:AF2100
Prestone Extended Life Antifreeze (50/50) features a blend of 50 percent antifreeze/coolant for temperature and corrosion protection and 50 percent demineralized water for heat transfer protection, and is compatible with any antifreeze/coolant, regardless of color. For use in all makes and models of cars and light duty trucks, this patented formula provides a high degree of performance durability and carefully balanced protection against temperature extremes and rust corrosion of all cooling system metals, including aluminum. Good for 5 years or 150,000 miles, this antifreeze meets or exceeds ASTM D3306 and D4985 for corrosion protection.",https://images-na.ssl-images-amazon.com/images/I/81JZcGECVML._SY550_.jpg,B000GKTYNI,Prestone AF2100 Extended Life 50/50 Antifreeze - 1 Gallon,https://www.amazon.com/Prestone-AF2100-Extended-Life-Antifreeze/dp/B000GKTYNI/ref=sr_1_1?ie=UTF8&qid=1495087869&sr=8-1&keywords=Coolant,#N/A,2017-05-06 00:00:00,5.0,Amazon is great. Cheapest price around at this time for me. Never order this from Amazon till now and because of how easy it is I may always now. That said solid product. Can't go wrong,Honest review,https://www.amazon.com/Prestone-AF2100-Extended-Life-Antifreeze/product-reviews/B000GKTYNI/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,j, , ,AM, 
 ,Prestone,Coolant,"Style:AF2100
Prestone Extended Life Antifreeze (50/50) features a blend of 50 percent antifreeze/coolant for temperature and corrosion protection and 50 percent demineralized water for heat transfer protection, and is compatible with any antifreeze/coolant, regardless of color. For use in all makes and models of cars and light duty trucks, this patented formula provides a high degree of performance durability and carefully balanced protection against temperature extremes and rust corrosion of all cooling system metals, including aluminum. Good for 5 years or 150,000 miles, this antifreeze meets or exceeds ASTM D3306 and D4985 for corrosion protection.",https://images-na.ssl-images-amazon.com/images/I/81JZcGECVML._SY550_.jpg,B000GKTYNI,Prestone AF2100 Extended Life 50/50 Antifreeze - 1 Gallon,https://www.amazon.com/Prestone-AF2100-Extended-Life-Antifreeze/dp/B000GKTYNI/ref=sr_1_1?ie=UTF8&qid=1495087869&sr=8-1&keywords=Coolant,#N/A,2017-05-06 00:00:00,5.0,"well I suppose amazon is trying to run some mom and pop shop out of town with $7 anti freeze but geez kind of a hard deal to turn down, buy 5 of them and get free shipping?!? That's what I did so the least I could do is write a review and say yeah the prestone long life looks like a quality product...has that classic dark green color, Seriously if I had the storage I'd buy a lifetime supply before too many people share myThis review.",take advantage,https://www.amazon.com/Prestone-AF2100-Extended-Life-Antifreeze/product-reviews/B000GKTYNI/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Wolf, , ,AM, 
 ,Prestone,Coolant,"Style:AF2100
Prestone Extended Life Antifreeze (50/50) features a blend of 50 percent antifreeze/coolant for temperature and corrosion protection and 50 percent demineralized water for heat transfer protection, and is compatible with any antifreeze/coolant, regardless of color. For use in all makes and models of cars and light duty trucks, this patented formula provides a high degree of performance durability and carefully balanced protection against temperature extremes and rust corrosion of all cooling system metals, including aluminum. Good for 5 years or 150,000 miles, this antifreeze meets or exceeds ASTM D3306 and D4985 for corrosion protection.",https://images-na.ssl-images-amazon.com/images/I/81JZcGECVML._SY550_.jpg,B000GKTYNI,Prestone AF2100 Extended Life 50/50 Antifreeze - 1 Gallon,https://www.amazon.com/Prestone-AF2100-Extended-Life-Antifreeze/dp/B000GKTYNI/ref=sr_1_1?ie=UTF8&qid=1495087869&sr=8-1&keywords=Coolant,#N/A,2017-04-28 00:00:00,5.0,Excellent price for when you compare it to my local auto parts store.,Five Stars,https://www.amazon.com/Prestone-AF2100-Extended-Life-Antifreeze/product-reviews/B000GKTYNI/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,blake, , ,AM, 
 ,Prestone,Coolant,"Style:AF2100
Prestone Extended Life Antifreeze (50/50) features a blend of 50 percent antifreeze/coolant for temperature and corrosion protection and 50 percent demineralized water for heat transfer protection, and is compatible with any antifreeze/coolant, regardless of color. For use in all makes and models of cars and light duty trucks, this patented formula provides a high degree of performance durability and carefully balanced protection against temperature extremes and rust corrosion of all cooling system metals, including aluminum. Good for 5 years or 150,000 miles, this antifreeze meets or exceeds ASTM D3306 and D4985 for corrosion protection.",https://images-na.ssl-images-amazon.com/images/I/81JZcGECVML._SY550_.jpg,B000GKTYNI,Prestone AF2100 Extended Life 50/50 Antifreeze - 1 Gallon,https://www.amazon.com/Prestone-AF2100-Extended-Life-Antifreeze/dp/B000GKTYNI/ref=sr_1_1?ie=UTF8&qid=1495087869&sr=8-1&keywords=Coolant,#N/A,2017-04-27 00:00:00,5.0,"Good product, price and arrived fast!",Good price and arrived fast.,https://www.amazon.com/Prestone-AF2100-Extended-Life-Antifreeze/product-reviews/B000GKTYNI/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Don Buczkowski, , ,AM, 
 ,Prestone,Coolant,"Style:AF2100
Prestone Extended Life Antifreeze (50/50) features a blend of 50 percent antifreeze/coolant for temperature and corrosion protection and 50 percent demineralized water for heat transfer protection, and is compatible with any antifreeze/coolant, regardless of color. For use in all makes and models of cars and light duty trucks, this patented formula provides a high degree of performance durability and carefully balanced protection against temperature extremes and rust corrosion of all cooling system metals, including aluminum. Good for 5 years or 150,000 miles, this antifreeze meets or exceeds ASTM D3306 and D4985 for corrosion protection.",https://images-na.ssl-images-amazon.com/images/I/81JZcGECVML._SY550_.jpg,B000GKTYNI,Prestone AF2100 Extended Life 50/50 Antifreeze - 1 Gallon,https://www.amazon.com/Prestone-AF2100-Extended-Life-Antifreeze/dp/B000GKTYNI/ref=sr_1_1?ie=UTF8&qid=1495087869&sr=8-1&keywords=Coolant,#N/A,2017-04-18 00:00:00,4.0,good product,Four Stars,https://www.amazon.com/Prestone-AF2100-Extended-Life-Antifreeze/product-reviews/B000GKTYNI/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,alejandro, , ,AM, 
 ,Prestone,Coolant,"Style:AF2100
Prestone Extended Life Antifreeze (50/50) features a blend of 50 percent antifreeze/coolant for temperature and corrosion protection and 50 percent demineralized water for heat transfer protection, and is compatible with any antifreeze/coolant, regardless of color. For use in all makes and models of cars and light duty trucks, this patented formula provides a high degree of performance durability and carefully balanced protection against temperature extremes and rust corrosion of all cooling system metals, including aluminum. Good for 5 years or 150,000 miles, this antifreeze meets or exceeds ASTM D3306 and D4985 for corrosion protection.",https://images-na.ssl-images-amazon.com/images/I/81JZcGECVML._SY550_.jpg,B000GKTYNI,Prestone AF2100 Extended Life 50/50 Antifreeze - 1 Gallon,https://www.amazon.com/Prestone-AF2100-Extended-Life-Antifreeze/dp/B000GKTYNI/ref=sr_1_1?ie=UTF8&qid=1495087869&sr=8-1&keywords=Coolant,#N/A,2017-04-14 00:00:00,5.0,"Cool down bro, have some prestone. It's the cheapest option, and I don't drive a Porsche. Maybe if your car is a supercharged, or your best friend you'll buy expensive stuff. This works for me!","Tastes sweet, or so I've heard",https://www.amazon.com/Prestone-AF2100-Extended-Life-Antifreeze/product-reviews/B000GKTYNI/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,DJ, , ,AM, 
 ,Prestone,Coolant,"Style:AF2100
Prestone Extended Life Antifreeze (50/50) features a blend of 50 percent antifreeze/coolant for temperature and corrosion protection and 50 percent demineralized water for heat transfer protection, and is compatible with any antifreeze/coolant, regardless of color. For use in all makes and models of cars and light duty trucks, this patented formula provides a high degree of performance durability and carefully balanced protection against temperature extremes and rust corrosion of all cooling system metals, including aluminum. Good for 5 years or 150,000 miles, this antifreeze meets or exceeds ASTM D3306 and D4985 for corrosion protection.",https://images-na.ssl-images-amazon.com/images/I/81JZcGECVML._SY550_.jpg,B000GKTYNI,Prestone AF2100 Extended Life 50/50 Antifreeze - 1 Gallon,https://www.amazon.com/Prestone-AF2100-Extended-Life-Antifreeze/dp/B000GKTYNI/ref=sr_1_1?ie=UTF8&qid=1495087869&sr=8-1&keywords=Coolant,#N/A,2017-04-09 00:00:00,5.0,Thank you.,Five Stars,https://www.amazon.com/Prestone-AF2100-Extended-Life-Antifreeze/product-reviews/B000GKTYNI/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer, , ,AM, 
 ,Prestone,Coolant,"Style:AF2100
Prestone Extended Life Antifreeze (50/50) features a blend of 50 percent antifreeze/coolant for temperature and corrosion protection and 50 percent demineralized water for heat transfer protection, and is compatible with any antifreeze/coolant, regardless of color. For use in all makes and models of cars and light duty trucks, this patented formula provides a high degree of performance durability and carefully balanced protection against temperature extremes and rust corrosion of all cooling system metals, including aluminum. Good for 5 years or 150,000 miles, this antifreeze meets or exceeds ASTM D3306 and D4985 for corrosion protection.",https://images-na.ssl-images-amazon.com/images/I/81JZcGECVML._SY550_.jpg,B000GKTYNI,Prestone AF2100 Extended Life 50/50 Antifreeze - 1 Gallon,https://www.amazon.com/Prestone-AF2100-Extended-Life-Antifreeze/dp/B000GKTYNI/ref=sr_1_1?ie=UTF8&qid=1495087869&sr=8-1&keywords=Coolant,#N/A,2017-03-30 00:00:00,5.0,Great product at a great price here.,Five Stars,https://www.amazon.com/Prestone-AF2100-Extended-Life-Antifreeze/product-reviews/B000GKTYNI/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,DANDA., , ,AM, 
