driver,pBrand,pCategory,pDescr,pImgSrc,pModel,pRating,pTitle,pURL,pid,price,rDate,rRating,rText,rTitle,rURL,rUser,rid,sentiScore,sentiment,siteCode,trigger
 ,Rubbermaid,Cooler,"Keep it cool with the Rubbermaid 75 qt. Blue Wheeled Cooler. This cooler's extra thick insulation keeps ice for up to five days at 90 degrees F. A hinged, split lid provides easy access to contents without letting all the cold air out, while the rugged wheels make maneuvering over various surfaces easy. This easy-to-clean, BPA-free design stores up to 130 cans plus ice and also features built-in cup holders for added convenience.
Holds 130 cans plus ice, perfect for parties and outdoor events
Built-in cup holders fit 12 oz. cans and 20 oz. bottles
Wheels enable easy transport
Side swing handles with comfort grip for easy carrying
Durable metal and plastic extended tow handle for portability
Safe, BPA-free construction
BPA free
Rubbermaid product is made in the United States of America",http://www.homedepot.com/catalog/productImages/1000/03/03865ef0-7379-45cc-83f0-a4dc7cedf300_1000.jpg,203160214,1.0,75 qt. Blue Wheeled Cooler,http://www.homedepot.com/p/Rubbermaid-75-qt-Blue-Wheeled-Cooler-FG2C0902MODBL/203160214,Cooler_Rubbermaid_203160214,$3997,2016-09-07 00:00:00,1.0,Lid broke completely off after just 2 uses. The design seems very poor. A split lid held by only 2 small screws.,Lid broke off almost immediately,http://www.homedepot.com/p/Rubbermaid-75-qt-Blue-Wheeled-Cooler-FG2C0902MODBL/203160214,jeff406,Cooler_Rubbermaid_203160214_jeff406_22_112, , ,HD, 
 ,Rubbermaid,Cooler,"Keep it cool with the Rubbermaid 75 qt. Blue Wheeled Cooler. This cooler's extra thick insulation keeps ice for up to five days at 90 degrees F. A hinged, split lid provides easy access to contents without letting all the cold air out, while the rugged wheels make maneuvering over various surfaces easy. This easy-to-clean, BPA-free design stores up to 130 cans plus ice and also features built-in cup holders for added convenience.
Holds 130 cans plus ice, perfect for parties and outdoor events
Built-in cup holders fit 12 oz. cans and 20 oz. bottles
Wheels enable easy transport
Side swing handles with comfort grip for easy carrying
Durable metal and plastic extended tow handle for portability
Safe, BPA-free construction
BPA free
Rubbermaid product is made in the United States of America",http://www.homedepot.com/catalog/productImages/1000/03/03865ef0-7379-45cc-83f0-a4dc7cedf300_1000.jpg,203160214,1.0,75 qt. Blue Wheeled Cooler,http://www.homedepot.com/p/Rubbermaid-75-qt-Blue-Wheeled-Cooler-FG2C0902MODBL/203160214,Cooler_Rubbermaid_203160214,$3997,2017-05-23 00:00:00,5.0,"Took it camping and the ice stayed good for three days!
Perfect size.",Took it camping and the ice stayed good for three days! Perfect size.,http://www.homedepot.com/p/Rubbermaid-75-qt-Blue-Wheeled-Cooler-FG2C0902MODBL/203160214,seadog61,Cooler_Rubbermaid_203160214_seadog61_12_69, , ,HD, 
 ,Rubbermaid,Cooler,"Keep it cool with the Rubbermaid 75 qt. Blue Wheeled Cooler. This cooler's extra thick insulation keeps ice for up to five days at 90 degrees F. A hinged, split lid provides easy access to contents without letting all the cold air out, while the rugged wheels make maneuvering over various surfaces easy. This easy-to-clean, BPA-free design stores up to 130 cans plus ice and also features built-in cup holders for added convenience.
Holds 130 cans plus ice, perfect for parties and outdoor events
Built-in cup holders fit 12 oz. cans and 20 oz. bottles
Wheels enable easy transport
Side swing handles with comfort grip for easy carrying
Durable metal and plastic extended tow handle for portability
Safe, BPA-free construction
BPA free
Rubbermaid product is made in the United States of America",http://www.homedepot.com/catalog/productImages/1000/03/03865ef0-7379-45cc-83f0-a4dc7cedf300_1000.jpg,203160214,1.0,75 qt. Blue Wheeled Cooler,http://www.homedepot.com/p/Rubbermaid-75-qt-Blue-Wheeled-Cooler-FG2C0902MODBL/203160214,Cooler_Rubbermaid_203160214,$3997,2017-05-23 00:00:00,5.0,Cooler is really big and does the job.,Cooler is really big and does the job....,http://www.homedepot.com/p/Rubbermaid-75-qt-Blue-Wheeled-Cooler-FG2C0902MODBL/203160214,Cooler,Cooler_Rubbermaid_203160214_Cooler_8_38, , ,HD, 
 ,Rubbermaid,Cooler,"Keep it cool with the Rubbermaid 75 qt. Blue Wheeled Cooler. This cooler's extra thick insulation keeps ice for up to five days at 90 degrees F. A hinged, split lid provides easy access to contents without letting all the cold air out, while the rugged wheels make maneuvering over various surfaces easy. This easy-to-clean, BPA-free design stores up to 130 cans plus ice and also features built-in cup holders for added convenience.
Holds 130 cans plus ice, perfect for parties and outdoor events
Built-in cup holders fit 12 oz. cans and 20 oz. bottles
Wheels enable easy transport
Side swing handles with comfort grip for easy carrying
Durable metal and plastic extended tow handle for portability
Safe, BPA-free construction
BPA free
Rubbermaid product is made in the United States of America",http://www.homedepot.com/catalog/productImages/1000/03/03865ef0-7379-45cc-83f0-a4dc7cedf300_1000.jpg,203160214,1.0,75 qt. Blue Wheeled Cooler,http://www.homedepot.com/p/Rubbermaid-75-qt-Blue-Wheeled-Cooler-FG2C0902MODBL/203160214,Cooler_Rubbermaid_203160214,$3997,2017-05-31 00:00:00,2.0,"I was so excited to see this cooler at Home Depot, I found it online and went to pick it up at the store because there were very few left. I like the handles and split top, however; this cooler will not hold ice for 5 days. I filled the cooler with food, drinks that were from the refrigerator so they were chilled. I added ice around 3p on Friday and by Saturday morning there was no ice left. I did leave the cooler outside, in the shade where the high temp was 82-84 degrees all weekend, but I continuously had to add ice. The ice did not last over night at any point Friday through Monday. This was a HUGE disappointment, especially when advertised as a 5 day ice keeper.","I was so excited to see this cooler at Home Depot, I found it online and went to pick it up at th...",http://www.homedepot.com/p/Rubbermaid-75-qt-Blue-Wheeled-Cooler-FG2C0902MODBL/203160214,Wilder1121,Cooler_Rubbermaid_203160214_Wilder1121_131_675, , ,HD, 
 ,Rubbermaid,Cooler,"Keep it cool with the Rubbermaid 75 qt. Blue Wheeled Cooler. This cooler's extra thick insulation keeps ice for up to five days at 90 degrees F. A hinged, split lid provides easy access to contents without letting all the cold air out, while the rugged wheels make maneuvering over various surfaces easy. This easy-to-clean, BPA-free design stores up to 130 cans plus ice and also features built-in cup holders for added convenience.
Holds 130 cans plus ice, perfect for parties and outdoor events
Built-in cup holders fit 12 oz. cans and 20 oz. bottles
Wheels enable easy transport
Side swing handles with comfort grip for easy carrying
Durable metal and plastic extended tow handle for portability
Safe, BPA-free construction
BPA free
Rubbermaid product is made in the United States of America",http://www.homedepot.com/catalog/productImages/1000/03/03865ef0-7379-45cc-83f0-a4dc7cedf300_1000.jpg,203160214,1.0,75 qt. Blue Wheeled Cooler,http://www.homedepot.com/p/Rubbermaid-75-qt-Blue-Wheeled-Cooler-FG2C0902MODBL/203160214,Cooler_Rubbermaid_203160214,$3997,2017-05-19 00:00:00,5.0,Rating provided by a verified purchaser,5 Star Review,http://www.homedepot.com/p/Rubbermaid-75-qt-Blue-Wheeled-Cooler-FG2C0902MODBL/203160214,Anonymous,Cooler_Rubbermaid_203160214_Anonymous_6_39, , ,HD, 
 ,Rubbermaid,Cooler,"Keep it cool with the Rubbermaid 75 qt. Blue Wheeled Cooler. This cooler's extra thick insulation keeps ice for up to five days at 90 degrees F. A hinged, split lid provides easy access to contents without letting all the cold air out, while the rugged wheels make maneuvering over various surfaces easy. This easy-to-clean, BPA-free design stores up to 130 cans plus ice and also features built-in cup holders for added convenience.
Holds 130 cans plus ice, perfect for parties and outdoor events
Built-in cup holders fit 12 oz. cans and 20 oz. bottles
Wheels enable easy transport
Side swing handles with comfort grip for easy carrying
Durable metal and plastic extended tow handle for portability
Safe, BPA-free construction
BPA free
Rubbermaid product is made in the United States of America",http://www.homedepot.com/catalog/productImages/1000/03/03865ef0-7379-45cc-83f0-a4dc7cedf300_1000.jpg,203160214,1.0,75 qt. Blue Wheeled Cooler,http://www.homedepot.com/p/Rubbermaid-75-qt-Blue-Wheeled-Cooler-FG2C0902MODBL/203160214,Cooler_Rubbermaid_203160214,$3997,2017-05-11 00:00:00,4.0,"This cooler is BIGGER than it looks and can be hard to handle. The PULL HANDLE should be BIGGER for the size and weight when loaded. WHEELS too small, AND roll poorly in sand. DIVIDER that can be used in box, great to keep items separated. If YOUR PARTY THAT BIG, EASIER TO TAKE 2 SMALLER COOLERS!!",This cooler is BIGGER than it looks and can be...,http://www.homedepot.com/p/Rubbermaid-75-qt-Blue-Wheeled-Cooler-FG2C0902MODBL/203160214,Frank3,Cooler_Rubbermaid_203160214_Frank3_57_298, , ,HD, 
 ,Rubbermaid,Cooler,"Keep it cool with the Rubbermaid 75 qt. Blue Wheeled Cooler. This cooler's extra thick insulation keeps ice for up to five days at 90 degrees F. A hinged, split lid provides easy access to contents without letting all the cold air out, while the rugged wheels make maneuvering over various surfaces easy. This easy-to-clean, BPA-free design stores up to 130 cans plus ice and also features built-in cup holders for added convenience.
Holds 130 cans plus ice, perfect for parties and outdoor events
Built-in cup holders fit 12 oz. cans and 20 oz. bottles
Wheels enable easy transport
Side swing handles with comfort grip for easy carrying
Durable metal and plastic extended tow handle for portability
Safe, BPA-free construction
BPA free
Rubbermaid product is made in the United States of America",http://www.homedepot.com/catalog/productImages/1000/03/03865ef0-7379-45cc-83f0-a4dc7cedf300_1000.jpg,203160214,1.0,75 qt. Blue Wheeled Cooler,http://www.homedepot.com/p/Rubbermaid-75-qt-Blue-Wheeled-Cooler-FG2C0902MODBL/203160214,Cooler_Rubbermaid_203160214,$3997,2017-06-03 00:00:00,5.0,"We purchased four of these coolers to transport all our refrigerator and freezer food to our new home 400 miles away. We loaded them up on Tuesday afternoon and unloaded them Thursday late afternoon. Very hot temps in the 90s! The great news is 99% of the food was fine. The food on the bottom was still frozen solid. The top of the cooler food was defrosted some but most was okay. Next time I will put extra ice on top. The coolers were full, heavy and we banged them around! No damage! Excellent! The coolers will give us many years of service!",We purchased four of these coolers to transport all our refrigerator and freezer food to our new ...,http://www.homedepot.com/p/Rubbermaid-75-qt-Blue-Wheeled-Cooler-FG2C0902MODBL/203160214,Richierich03,Cooler_Rubbermaid_203160214_Richierich03_103_547, , ,HD, 
 ,Rubbermaid,Cooler,"Keep it cool with the Rubbermaid 75 qt. Blue Wheeled Cooler. This cooler's extra thick insulation keeps ice for up to five days at 90 degrees F. A hinged, split lid provides easy access to contents without letting all the cold air out, while the rugged wheels make maneuvering over various surfaces easy. This easy-to-clean, BPA-free design stores up to 130 cans plus ice and also features built-in cup holders for added convenience.
Holds 130 cans plus ice, perfect for parties and outdoor events
Built-in cup holders fit 12 oz. cans and 20 oz. bottles
Wheels enable easy transport
Side swing handles with comfort grip for easy carrying
Durable metal and plastic extended tow handle for portability
Safe, BPA-free construction
BPA free
Rubbermaid product is made in the United States of America",http://www.homedepot.com/catalog/productImages/1000/03/03865ef0-7379-45cc-83f0-a4dc7cedf300_1000.jpg,203160214,1.0,75 qt. Blue Wheeled Cooler,http://www.homedepot.com/p/Rubbermaid-75-qt-Blue-Wheeled-Cooler-FG2C0902MODBL/203160214,Cooler_Rubbermaid_203160214,$3997,2017-06-02 00:00:00,1.0,Only had the cooler for three weeks and the hinges on the cover are already broken.,Only had the cooler for three weeks and the hinges on the cover are already broken.,http://www.homedepot.com/p/Rubbermaid-75-qt-Blue-Wheeled-Cooler-FG2C0902MODBL/203160214,SLCElectrical,Cooler_Rubbermaid_203160214_SLCElectrical_16_83, , ,HD, 
 ,Rubbermaid,Cooler,"The 45 Qt. Wheeled Cooler has rugged, all-terrain wheels for easy maneuverability. A hinged, split lid creates easy access to the contents without letting all the cold air out. Superior thermal retention keeps food and beverages cold, while the built-in cup holders fit 12 oz. cans and 20 oz. bottles.
Easy-to-clean liner featuring Microban anti-microbial protection
Holds 67 cans plus ice
Side swing handles with comfort grip for easy carrying
Durable, retractable metal and plastic pull handle
Front drain for easy draining of liquids
BPA free",http://www.homedepot.com/catalog/productImages/1000/bf/bfa93a82-d898-4c90-86e8-72ed2d2ace7a_1000.jpg,202315032,5.0,45 Qt. Blue Wheeled Cooler,http://www.homedepot.com/p/Rubbermaid-45-Qt-Blue-Wheeled-Cooler-FG2A9102MODBL/202315032,Cooler_Rubbermaid_202315032,$2497,2017-05-23 00:00:00,5.0,This cooler fits our needs perfectly. Just the correct size and double insulated makes it a great choice,Best all around cooler,http://www.homedepot.com/p/Rubbermaid-45-Qt-Blue-Wheeled-Cooler-FG2A9102MODBL/202315032,john,Cooler_Rubbermaid_202315032_john_18_104, , ,HD, 
 ,Rubbermaid,Cooler,"The 45 Qt. Wheeled Cooler has rugged, all-terrain wheels for easy maneuverability. A hinged, split lid creates easy access to the contents without letting all the cold air out. Superior thermal retention keeps food and beverages cold, while the built-in cup holders fit 12 oz. cans and 20 oz. bottles.
Easy-to-clean liner featuring Microban anti-microbial protection
Holds 67 cans plus ice
Side swing handles with comfort grip for easy carrying
Durable, retractable metal and plastic pull handle
Front drain for easy draining of liquids
BPA free",http://www.homedepot.com/catalog/productImages/1000/bf/bfa93a82-d898-4c90-86e8-72ed2d2ace7a_1000.jpg,202315032,5.0,45 Qt. Blue Wheeled Cooler,http://www.homedepot.com/p/Rubbermaid-45-Qt-Blue-Wheeled-Cooler-FG2A9102MODBL/202315032,Cooler_Rubbermaid_202315032,$2497,2017-05-23 00:00:00,4.0,only problem the top doesn't stay up on it's own you have to hold it,only problem the top doesn't stay up on it's own you have to hold it,http://www.homedepot.com/p/Rubbermaid-45-Qt-Blue-Wheeled-Cooler-FG2A9102MODBL/202315032,Tom,Cooler_Rubbermaid_202315032_Tom_15_68, , ,HD, 
