driver,pBrand,pCategory,pDescr,pImgSrc,pModel,pRating,pTitle,pURL,pid,price,rDate,rRating,rText,rTitle,rURL,rUser,rid,sentiScore,sentiment,siteCode,trigger
 ,AmazonBasics,Headphone,Not Available,https://images-na.ssl-images-amazon.com/images/I/71xuT6vYBuL._SY450_.jpg,B00NBEWB4U,4.3,AmazonBasics Lightweight On-Ear Headphones - Black,https://www.amazon.com/AmazonBasics-Lightweight-On-Ear-Headphones-Black/dp/B00NBEWB4U/ref=sr_1_3?ie=UTF8&qid=1496644400&sr=8-3&keywords=Headphone,Headphone_AmazonBasics_B00NBEWB4U,$13.99,2017-06-04 00:00:00,5.0,"Very inexpensive headphones, but just fine for use with my Kindle. Since my cat chewed through the wires on my last ones, I didn't want the top of the line to replace.",Okay product,https://www.amazon.com/AmazonBasics-Lightweight-On-Ear-Headphones-Black/product-reviews/B00NBEWB4U/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,B. Foley,Headphone_AmazonBasics_B00NBEWB4U_B. Foley_32_167, , ,AM, 
 ,AmazonBasics,Headphone,Not Available,https://images-na.ssl-images-amazon.com/images/I/71xuT6vYBuL._SY450_.jpg,B00NBEWB4U,4.3,AmazonBasics Lightweight On-Ear Headphones - Black,https://www.amazon.com/AmazonBasics-Lightweight-On-Ear-Headphones-Black/dp/B00NBEWB4U/ref=sr_1_3?ie=UTF8&qid=1496644400&sr=8-3&keywords=Headphone,Headphone_AmazonBasics_B00NBEWB4U,$13.99,2017-06-04 00:00:00,4.0,Simple functional headphones at a good price. A little tight on the head.,Value functionality,https://www.amazon.com/AmazonBasics-Lightweight-On-Ear-Headphones-Black/product-reviews/B00NBEWB4U/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,John J. Costello Jr.,Headphone_AmazonBasics_B00NBEWB4U_John J. Costello Jr._13_73, , ,AM, 
 ,AmazonBasics,Headphone,Not Available,https://images-na.ssl-images-amazon.com/images/I/71xuT6vYBuL._SY450_.jpg,B00NBEWB4U,4.3,AmazonBasics Lightweight On-Ear Headphones - Black,https://www.amazon.com/AmazonBasics-Lightweight-On-Ear-Headphones-Black/dp/B00NBEWB4U/ref=sr_1_3?ie=UTF8&qid=1496644400&sr=8-3&keywords=Headphone,Headphone_AmazonBasics_B00NBEWB4U,$13.99,2017-06-04 00:00:00,5.0,"The headphones look amazing, even better than in the pictures. The headphones have a great feel to them when you're using them, they are comfortable and lightweight. The sound is clear and has a good bass. The headphones have a premium feel and sound to them, and they don't feel like they are less than 15€ they are truely a bang for your buck.",bang for your buck,https://www.amazon.com/AmazonBasics-Lightweight-On-Ear-Headphones-Black/product-reviews/B00NBEWB4U/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,fred usman,Headphone_AmazonBasics_B00NBEWB4U_fred usman_64_345, , ,AM, 
 ,AmazonBasics,Headphone,Not Available,https://images-na.ssl-images-amazon.com/images/I/71xuT6vYBuL._SY450_.jpg,B00NBEWB4U,4.3,AmazonBasics Lightweight On-Ear Headphones - Black,https://www.amazon.com/AmazonBasics-Lightweight-On-Ear-Headphones-Black/dp/B00NBEWB4U/ref=sr_1_3?ie=UTF8&qid=1496644400&sr=8-3&keywords=Headphone,Headphone_AmazonBasics_B00NBEWB4U,$13.99,2017-06-04 00:00:00,5.0,Fantastic sound. Better than more expensive headphones.,Five Stars,https://www.amazon.com/AmazonBasics-Lightweight-On-Ear-Headphones-Black/product-reviews/B00NBEWB4U/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer,Headphone_AmazonBasics_B00NBEWB4U_Amazon Customer_7_55, , ,AM, 
 ,AmazonBasics,Headphone,Not Available,https://images-na.ssl-images-amazon.com/images/I/71xuT6vYBuL._SY450_.jpg,B00NBEWB4U,4.3,AmazonBasics Lightweight On-Ear Headphones - Black,https://www.amazon.com/AmazonBasics-Lightweight-On-Ear-Headphones-Black/dp/B00NBEWB4U/ref=sr_1_3?ie=UTF8&qid=1496644400&sr=8-3&keywords=Headphone,Headphone_AmazonBasics_B00NBEWB4U,$13.99,2017-06-04 00:00:00,5.0,pretty good sounds and my laptop does not have good speakers so its nice to have some good speakers so now my sis does not call me every 5 seconds-Lukas 9yrs,pretty good sounds and my laptop does not have good ...,https://www.amazon.com/AmazonBasics-Lightweight-On-Ear-Headphones-Black/product-reviews/B00NBEWB4U/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer,Headphone_AmazonBasics_B00NBEWB4U_Amazon Customer_31_157, , ,AM, 
 ,AmazonBasics,Headphone,Not Available,https://images-na.ssl-images-amazon.com/images/I/71xuT6vYBuL._SY450_.jpg,B00NBEWB4U,4.3,AmazonBasics Lightweight On-Ear Headphones - Black,https://www.amazon.com/AmazonBasics-Lightweight-On-Ear-Headphones-Black/dp/B00NBEWB4U/ref=sr_1_3?ie=UTF8&qid=1496644400&sr=8-3&keywords=Headphone,Headphone_AmazonBasics_B00NBEWB4U,$13.99,2017-06-04 00:00:00,2.0,Not very good sound,Two Stars,https://www.amazon.com/AmazonBasics-Lightweight-On-Ear-Headphones-Black/product-reviews/B00NBEWB4U/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Kilveti,Headphone_AmazonBasics_B00NBEWB4U_Kilveti_4_19, , ,AM, 
 ,AmazonBasics,Headphone,Not Available,https://images-na.ssl-images-amazon.com/images/I/71xuT6vYBuL._SY450_.jpg,B00NBEWB4U,4.3,AmazonBasics Lightweight On-Ear Headphones - Black,https://www.amazon.com/AmazonBasics-Lightweight-On-Ear-Headphones-Black/dp/B00NBEWB4U/ref=sr_1_3?ie=UTF8&qid=1496644400&sr=8-3&keywords=Headphone,Headphone_AmazonBasics_B00NBEWB4U,$13.99,2017-06-04 00:00:00,5.0,"these are the best one s for the price ,",very good head set,https://www.amazon.com/AmazonBasics-Lightweight-On-Ear-Headphones-Black/product-reviews/B00NBEWB4U/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,eddie,Headphone_AmazonBasics_B00NBEWB4U_eddie_10_40, , ,AM, 
 ,AmazonBasics,Headphone,Not Available,https://images-na.ssl-images-amazon.com/images/I/71xuT6vYBuL._SY450_.jpg,B00NBEWB4U,4.3,AmazonBasics Lightweight On-Ear Headphones - Black,https://www.amazon.com/AmazonBasics-Lightweight-On-Ear-Headphones-Black/dp/B00NBEWB4U/ref=sr_1_3?ie=UTF8&qid=1496644400&sr=8-3&keywords=Headphone,Headphone_AmazonBasics_B00NBEWB4U,$13.99,2017-06-04 00:00:00,5.0,"Great sound, GREAT price. These aren't Bose, but for the $ they are great",Five Stars,https://www.amazon.com/AmazonBasics-Lightweight-On-Ear-Headphones-Black/product-reviews/B00NBEWB4U/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Paint,Headphone_AmazonBasics_B00NBEWB4U_Paint_14_73, , ,AM, 
 ,AmazonBasics,Headphone,Not Available,https://images-na.ssl-images-amazon.com/images/I/71xuT6vYBuL._SY450_.jpg,B00NBEWB4U,4.3,AmazonBasics Lightweight On-Ear Headphones - Black,https://www.amazon.com/AmazonBasics-Lightweight-On-Ear-Headphones-Black/dp/B00NBEWB4U/ref=sr_1_3?ie=UTF8&qid=1496644400&sr=8-3&keywords=Headphone,Headphone_AmazonBasics_B00NBEWB4U,$13.99,2017-06-03 00:00:00,1.0,"Product came as pictured. They fit just fine. The only problem is the elasticity. These headphones do not stretch well and they squeeze in on your head really tight. I always get a headache after I put these on for 2-3 minutes.

These may be cheap but don't buy them if you have a big head. I am 6 feet tall and these really squeezes the sides of my head together when I wear it. I tried to stretch these out by putting them onto a cardboard box to expand them a little bit. I left it on the cardboard box for weeks and when I wore it again, they fit better. But the problem is they still try to squeeze back to their original shape. Very disappointed.",They fit just fine. The only problem is the elasticity,https://www.amazon.com/AmazonBasics-Lightweight-On-Ear-Headphones-Black/product-reviews/B00NBEWB4U/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer,Headphone_AmazonBasics_B00NBEWB4U_Amazon Customer_127_652, , ,AM, 
 ,AmazonBasics,Headphone,Not Available,https://images-na.ssl-images-amazon.com/images/I/71xuT6vYBuL._SY450_.jpg,B00NBEWB4U,4.3,AmazonBasics Lightweight On-Ear Headphones - Black,https://www.amazon.com/AmazonBasics-Lightweight-On-Ear-Headphones-Black/dp/B00NBEWB4U/ref=sr_1_3?ie=UTF8&qid=1496644400&sr=8-3&keywords=Headphone,Headphone_AmazonBasics_B00NBEWB4U,$13.99,2017-06-03 00:00:00,2.0,"The sound is adequate, but they sit on your ears and are quite uncomfortable.",Mediocre,https://www.amazon.com/AmazonBasics-Lightweight-On-Ear-Headphones-Black/product-reviews/B00NBEWB4U/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Keith Ward Schumacher,Headphone_AmazonBasics_B00NBEWB4U_Keith Ward Schumacher_14_77, , ,AM, 
