driver,pBrand,pCategory,pDescr,pImgSrc,pModel,pRating,pTitle,pURL,pid,price,rDate,rRating,rText,rTitle,rURL,rUser,rid,sentiScore,sentiment,siteCode,trigger
 ,#N/A,cooler,"Product Description
Keep your food and drinks cold, and keep the fun going, for up to 3 days when you bring a Coleman 48 Quart Performance Cooler. Large enough to hold 63 cans and tall enough to hold 2-liter bottles upright, you'll have plenty of space for refreshments for a whole group of people. Whether you're headed on an overnight camping trip, to a tailgate party, or out to a BBQ, the 2-way handles make getting to your destination easy. When the fun is done, the leak-resistant drain makes it easy to empty any excess water, so you're ready for your next fun adventure.

Amazon.com
The Coleman 48-Quart Chest Cooler combines the easy-to-carry convenience of two-way handles with the rugged durability of a hard plastic exterior and hinged lid, making it the perfect cooler for afternoons on the beach or on the game field. This innovative cooler is constructed with Thermozone insulation to keep food and beverages fresh and cold. This American-made cooler also features a rust-proof, leak-proof drain for easy emptying and cleaning, and it has the capacity to hold up to 63 12-ounce cans.

About Coleman
The Coleman Company has been creating and innovating products for recreational outdoor use since W.C. Coleman started selling gasoline-powered lanterns in 1900. Inventor of the hugely popular fold-up camp stove, Coleman developed a plastic liner for his galvanized steel coolers in 1957--the birth of the modern cooler--and the company has been improving their utility and design ever since. The array of products that bear the Coleman name now includes just about everything you might need to work or play outdoors, from tents and sleeping bags to boats, backpacks, and furniture.",https://images-na.ssl-images-amazon.com/images/I/71iq2lB8jJL._SY355_.jpg,B0000DH4LT,4.2,"Coleman 48-Quart Cooler, Blue",https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/dp/B0000DH4LT/ref=sr_1_3?ie=UTF8&qid=1498732542&sr=8-3&keywords=cooler,cooler_#N/A_B0000DH4LT,$25.48,2017-06-28 00:00:00,2.0,"It's a cheap and basic cooler, and you get what you pay for. I get that. So I don't mind -for this price- that the walls seem thin, or that the lid is not as sturdy as our other Coleman cooler. I do however mind that the hinges are attached with one plastic rivet per hinge, instead of two metal screws. Our older Coleman 28 qt cooler (model 6277) on the left with 4 screws per hinge vs. this cooler with 2 screws and one plastic rivet per hinge (see photo). This does not seem like a construction that would last more than 1 or 2 years. Also, the lid does not stay open. We're sending this back.",Plastic rivet hinge,https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/product-reviews/B0000DH4LT/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,kfh,cooler_#N/A_B0000DH4LT_kfh_118_596, , ,AM, 
 ,#N/A,cooler,"Product Description
Keep your food and drinks cold, and keep the fun going, for up to 3 days when you bring a Coleman 48 Quart Performance Cooler. Large enough to hold 63 cans and tall enough to hold 2-liter bottles upright, you'll have plenty of space for refreshments for a whole group of people. Whether you're headed on an overnight camping trip, to a tailgate party, or out to a BBQ, the 2-way handles make getting to your destination easy. When the fun is done, the leak-resistant drain makes it easy to empty any excess water, so you're ready for your next fun adventure.

Amazon.com
The Coleman 48-Quart Chest Cooler combines the easy-to-carry convenience of two-way handles with the rugged durability of a hard plastic exterior and hinged lid, making it the perfect cooler for afternoons on the beach or on the game field. This innovative cooler is constructed with Thermozone insulation to keep food and beverages fresh and cold. This American-made cooler also features a rust-proof, leak-proof drain for easy emptying and cleaning, and it has the capacity to hold up to 63 12-ounce cans.

About Coleman
The Coleman Company has been creating and innovating products for recreational outdoor use since W.C. Coleman started selling gasoline-powered lanterns in 1900. Inventor of the hugely popular fold-up camp stove, Coleman developed a plastic liner for his galvanized steel coolers in 1957--the birth of the modern cooler--and the company has been improving their utility and design ever since. The array of products that bear the Coleman name now includes just about everything you might need to work or play outdoors, from tents and sleeping bags to boats, backpacks, and furniture.",https://images-na.ssl-images-amazon.com/images/I/71iq2lB8jJL._SY355_.jpg,B0000DH4LT,4.2,"Coleman 48-Quart Cooler, Blue",https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/dp/B0000DH4LT/ref=sr_1_3?ie=UTF8&qid=1498732542&sr=8-3&keywords=cooler,cooler_#N/A_B0000DH4LT,$25.48,2017-06-28 00:00:00,3.0,"It keeps things good and cool, but the darn thing is almost impossible to open!",Hard to Open,https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/product-reviews/B0000DH4LT/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Gary Nored,cooler_#N/A_B0000DH4LT_Gary Nored_15_79, , ,AM, 
 ,#N/A,cooler,"Product Description
Keep your food and drinks cold, and keep the fun going, for up to 3 days when you bring a Coleman 48 Quart Performance Cooler. Large enough to hold 63 cans and tall enough to hold 2-liter bottles upright, you'll have plenty of space for refreshments for a whole group of people. Whether you're headed on an overnight camping trip, to a tailgate party, or out to a BBQ, the 2-way handles make getting to your destination easy. When the fun is done, the leak-resistant drain makes it easy to empty any excess water, so you're ready for your next fun adventure.

Amazon.com
The Coleman 48-Quart Chest Cooler combines the easy-to-carry convenience of two-way handles with the rugged durability of a hard plastic exterior and hinged lid, making it the perfect cooler for afternoons on the beach or on the game field. This innovative cooler is constructed with Thermozone insulation to keep food and beverages fresh and cold. This American-made cooler also features a rust-proof, leak-proof drain for easy emptying and cleaning, and it has the capacity to hold up to 63 12-ounce cans.

About Coleman
The Coleman Company has been creating and innovating products for recreational outdoor use since W.C. Coleman started selling gasoline-powered lanterns in 1900. Inventor of the hugely popular fold-up camp stove, Coleman developed a plastic liner for his galvanized steel coolers in 1957--the birth of the modern cooler--and the company has been improving their utility and design ever since. The array of products that bear the Coleman name now includes just about everything you might need to work or play outdoors, from tents and sleeping bags to boats, backpacks, and furniture.",https://images-na.ssl-images-amazon.com/images/I/71iq2lB8jJL._SY355_.jpg,B0000DH4LT,4.2,"Coleman 48-Quart Cooler, Blue",https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/dp/B0000DH4LT/ref=sr_1_3?ie=UTF8&qid=1498732542&sr=8-3&keywords=cooler,cooler_#N/A_B0000DH4LT,$25.48,2017-06-27 00:00:00,3.0,"arrived on time. have used it twice it is light weight easy to use, but it dose not hold the ice very long.
if it is a hot day you will have nothing but water in a few hours..",have used it twice it is light weight easy to use,https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/product-reviews/B0000DH4LT/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,matthew,cooler_#N/A_B0000DH4LT_matthew_38_175, , ,AM, 
 ,#N/A,cooler,"Product Description
Keep your food and drinks cold, and keep the fun going, for up to 3 days when you bring a Coleman 48 Quart Performance Cooler. Large enough to hold 63 cans and tall enough to hold 2-liter bottles upright, you'll have plenty of space for refreshments for a whole group of people. Whether you're headed on an overnight camping trip, to a tailgate party, or out to a BBQ, the 2-way handles make getting to your destination easy. When the fun is done, the leak-resistant drain makes it easy to empty any excess water, so you're ready for your next fun adventure.

Amazon.com
The Coleman 48-Quart Chest Cooler combines the easy-to-carry convenience of two-way handles with the rugged durability of a hard plastic exterior and hinged lid, making it the perfect cooler for afternoons on the beach or on the game field. This innovative cooler is constructed with Thermozone insulation to keep food and beverages fresh and cold. This American-made cooler also features a rust-proof, leak-proof drain for easy emptying and cleaning, and it has the capacity to hold up to 63 12-ounce cans.

About Coleman
The Coleman Company has been creating and innovating products for recreational outdoor use since W.C. Coleman started selling gasoline-powered lanterns in 1900. Inventor of the hugely popular fold-up camp stove, Coleman developed a plastic liner for his galvanized steel coolers in 1957--the birth of the modern cooler--and the company has been improving their utility and design ever since. The array of products that bear the Coleman name now includes just about everything you might need to work or play outdoors, from tents and sleeping bags to boats, backpacks, and furniture.",https://images-na.ssl-images-amazon.com/images/I/71iq2lB8jJL._SY355_.jpg,B0000DH4LT,4.2,"Coleman 48-Quart Cooler, Blue",https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/dp/B0000DH4LT/ref=sr_1_3?ie=UTF8&qid=1498732542&sr=8-3&keywords=cooler,cooler_#N/A_B0000DH4LT,$25.48,2017-06-22 00:00:00,3.0,"The cooler is very nice. Rated it with three stars bc they originally sent it to me with only one handle, but they sent me one back quickly with both handles.",The cooler is very nice. Rated it with three stars bc they originally ...,https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/product-reviews/B0000DH4LT/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer,cooler_#N/A_B0000DH4LT_Amazon Customer_31_158, , ,AM, 
 ,#N/A,cooler,"Product Description
Keep your food and drinks cold, and keep the fun going, for up to 3 days when you bring a Coleman 48 Quart Performance Cooler. Large enough to hold 63 cans and tall enough to hold 2-liter bottles upright, you'll have plenty of space for refreshments for a whole group of people. Whether you're headed on an overnight camping trip, to a tailgate party, or out to a BBQ, the 2-way handles make getting to your destination easy. When the fun is done, the leak-resistant drain makes it easy to empty any excess water, so you're ready for your next fun adventure.

Amazon.com
The Coleman 48-Quart Chest Cooler combines the easy-to-carry convenience of two-way handles with the rugged durability of a hard plastic exterior and hinged lid, making it the perfect cooler for afternoons on the beach or on the game field. This innovative cooler is constructed with Thermozone insulation to keep food and beverages fresh and cold. This American-made cooler also features a rust-proof, leak-proof drain for easy emptying and cleaning, and it has the capacity to hold up to 63 12-ounce cans.

About Coleman
The Coleman Company has been creating and innovating products for recreational outdoor use since W.C. Coleman started selling gasoline-powered lanterns in 1900. Inventor of the hugely popular fold-up camp stove, Coleman developed a plastic liner for his galvanized steel coolers in 1957--the birth of the modern cooler--and the company has been improving their utility and design ever since. The array of products that bear the Coleman name now includes just about everything you might need to work or play outdoors, from tents and sleeping bags to boats, backpacks, and furniture.",https://images-na.ssl-images-amazon.com/images/I/71iq2lB8jJL._SY355_.jpg,B0000DH4LT,4.2,"Coleman 48-Quart Cooler, Blue",https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/dp/B0000DH4LT/ref=sr_1_3?ie=UTF8&qid=1498732542&sr=8-3&keywords=cooler,cooler_#N/A_B0000DH4LT,$25.48,2017-06-22 00:00:00,4.0,"Lightweight, used them when I moved. Good price.",Descent,https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/product-reviews/B0000DH4LT/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Sam,cooler_#N/A_B0000DH4LT_Sam_8_48, , ,AM, 
 ,#N/A,cooler,"Product Description
Keep your food and drinks cold, and keep the fun going, for up to 3 days when you bring a Coleman 48 Quart Performance Cooler. Large enough to hold 63 cans and tall enough to hold 2-liter bottles upright, you'll have plenty of space for refreshments for a whole group of people. Whether you're headed on an overnight camping trip, to a tailgate party, or out to a BBQ, the 2-way handles make getting to your destination easy. When the fun is done, the leak-resistant drain makes it easy to empty any excess water, so you're ready for your next fun adventure.

Amazon.com
The Coleman 48-Quart Chest Cooler combines the easy-to-carry convenience of two-way handles with the rugged durability of a hard plastic exterior and hinged lid, making it the perfect cooler for afternoons on the beach or on the game field. This innovative cooler is constructed with Thermozone insulation to keep food and beverages fresh and cold. This American-made cooler also features a rust-proof, leak-proof drain for easy emptying and cleaning, and it has the capacity to hold up to 63 12-ounce cans.

About Coleman
The Coleman Company has been creating and innovating products for recreational outdoor use since W.C. Coleman started selling gasoline-powered lanterns in 1900. Inventor of the hugely popular fold-up camp stove, Coleman developed a plastic liner for his galvanized steel coolers in 1957--the birth of the modern cooler--and the company has been improving their utility and design ever since. The array of products that bear the Coleman name now includes just about everything you might need to work or play outdoors, from tents and sleeping bags to boats, backpacks, and furniture.",https://images-na.ssl-images-amazon.com/images/I/71iq2lB8jJL._SY355_.jpg,B0000DH4LT,4.2,"Coleman 48-Quart Cooler, Blue",https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/dp/B0000DH4LT/ref=sr_1_3?ie=UTF8&qid=1498732542&sr=8-3&keywords=cooler,cooler_#N/A_B0000DH4LT,$25.48,2017-06-21 00:00:00,4.0,"Good cooler, handles could be stronger",Four Stars,https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/product-reviews/B0000DH4LT/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Kenneth Amendola,cooler_#N/A_B0000DH4LT_Kenneth Amendola_6_38, , ,AM, 
 ,#N/A,cooler,"Product Description
Keep your food and drinks cold, and keep the fun going, for up to 3 days when you bring a Coleman 48 Quart Performance Cooler. Large enough to hold 63 cans and tall enough to hold 2-liter bottles upright, you'll have plenty of space for refreshments for a whole group of people. Whether you're headed on an overnight camping trip, to a tailgate party, or out to a BBQ, the 2-way handles make getting to your destination easy. When the fun is done, the leak-resistant drain makes it easy to empty any excess water, so you're ready for your next fun adventure.

Amazon.com
The Coleman 48-Quart Chest Cooler combines the easy-to-carry convenience of two-way handles with the rugged durability of a hard plastic exterior and hinged lid, making it the perfect cooler for afternoons on the beach or on the game field. This innovative cooler is constructed with Thermozone insulation to keep food and beverages fresh and cold. This American-made cooler also features a rust-proof, leak-proof drain for easy emptying and cleaning, and it has the capacity to hold up to 63 12-ounce cans.

About Coleman
The Coleman Company has been creating and innovating products for recreational outdoor use since W.C. Coleman started selling gasoline-powered lanterns in 1900. Inventor of the hugely popular fold-up camp stove, Coleman developed a plastic liner for his galvanized steel coolers in 1957--the birth of the modern cooler--and the company has been improving their utility and design ever since. The array of products that bear the Coleman name now includes just about everything you might need to work or play outdoors, from tents and sleeping bags to boats, backpacks, and furniture.",https://images-na.ssl-images-amazon.com/images/I/71iq2lB8jJL._SY355_.jpg,B0000DH4LT,4.2,"Coleman 48-Quart Cooler, Blue",https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/dp/B0000DH4LT/ref=sr_1_3?ie=UTF8&qid=1498732542&sr=8-3&keywords=cooler,cooler_#N/A_B0000DH4LT,$25.48,2017-06-17 00:00:00,3.0,"Pros: Good amount of interior cooler space compared to how much space it takes up. Nice handles. Doesn't leak.

Cons: it wont allow you to keep the lid open to get things in and out, the hinges just make the lid fall shut on you every time which gets annoying. Ice only llasts 2-3 days in it when its 60% full fo ice, so not great for long trips and you end up sacrificing cooler space to ice.",Pros and Cons,https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/product-reviews/B0000DH4LT/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Brady Chiongbian,cooler_#N/A_B0000DH4LT_Brady Chiongbian_77_393, , ,AM, 
 ,#N/A,cooler,"Product Description
Keep your food and drinks cold, and keep the fun going, for up to 3 days when you bring a Coleman 48 Quart Performance Cooler. Large enough to hold 63 cans and tall enough to hold 2-liter bottles upright, you'll have plenty of space for refreshments for a whole group of people. Whether you're headed on an overnight camping trip, to a tailgate party, or out to a BBQ, the 2-way handles make getting to your destination easy. When the fun is done, the leak-resistant drain makes it easy to empty any excess water, so you're ready for your next fun adventure.

Amazon.com
The Coleman 48-Quart Chest Cooler combines the easy-to-carry convenience of two-way handles with the rugged durability of a hard plastic exterior and hinged lid, making it the perfect cooler for afternoons on the beach or on the game field. This innovative cooler is constructed with Thermozone insulation to keep food and beverages fresh and cold. This American-made cooler also features a rust-proof, leak-proof drain for easy emptying and cleaning, and it has the capacity to hold up to 63 12-ounce cans.

About Coleman
The Coleman Company has been creating and innovating products for recreational outdoor use since W.C. Coleman started selling gasoline-powered lanterns in 1900. Inventor of the hugely popular fold-up camp stove, Coleman developed a plastic liner for his galvanized steel coolers in 1957--the birth of the modern cooler--and the company has been improving their utility and design ever since. The array of products that bear the Coleman name now includes just about everything you might need to work or play outdoors, from tents and sleeping bags to boats, backpacks, and furniture.",https://images-na.ssl-images-amazon.com/images/I/71iq2lB8jJL._SY355_.jpg,B0000DH4LT,4.2,"Coleman 48-Quart Cooler, Blue",https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/dp/B0000DH4LT/ref=sr_1_3?ie=UTF8&qid=1498732542&sr=8-3&keywords=cooler,cooler_#N/A_B0000DH4LT,$25.48,2017-06-17 00:00:00,1.0,"The cooler looks nice and came quickly but it does not keep ice at all! We filled the cooler with beer and put ice in, 1 hour later all the ice is melted.",The cooler looks nice and came quickly but it does not keep ice ...,https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/product-reviews/B0000DH4LT/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Laura,cooler_#N/A_B0000DH4LT_Laura_33_154, , ,AM, 
 ,#N/A,cooler,"Product Description
Keep your food and drinks cold, and keep the fun going, for up to 3 days when you bring a Coleman 48 Quart Performance Cooler. Large enough to hold 63 cans and tall enough to hold 2-liter bottles upright, you'll have plenty of space for refreshments for a whole group of people. Whether you're headed on an overnight camping trip, to a tailgate party, or out to a BBQ, the 2-way handles make getting to your destination easy. When the fun is done, the leak-resistant drain makes it easy to empty any excess water, so you're ready for your next fun adventure.

Amazon.com
The Coleman 48-Quart Chest Cooler combines the easy-to-carry convenience of two-way handles with the rugged durability of a hard plastic exterior and hinged lid, making it the perfect cooler for afternoons on the beach or on the game field. This innovative cooler is constructed with Thermozone insulation to keep food and beverages fresh and cold. This American-made cooler also features a rust-proof, leak-proof drain for easy emptying and cleaning, and it has the capacity to hold up to 63 12-ounce cans.

About Coleman
The Coleman Company has been creating and innovating products for recreational outdoor use since W.C. Coleman started selling gasoline-powered lanterns in 1900. Inventor of the hugely popular fold-up camp stove, Coleman developed a plastic liner for his galvanized steel coolers in 1957--the birth of the modern cooler--and the company has been improving their utility and design ever since. The array of products that bear the Coleman name now includes just about everything you might need to work or play outdoors, from tents and sleeping bags to boats, backpacks, and furniture.",https://images-na.ssl-images-amazon.com/images/I/71iq2lB8jJL._SY355_.jpg,B0000DH4LT,4.2,"Coleman 48-Quart Cooler, Blue",https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/dp/B0000DH4LT/ref=sr_1_3?ie=UTF8&qid=1498732542&sr=8-3&keywords=cooler,cooler_#N/A_B0000DH4LT,$25.48,2017-06-15 00:00:00,5.0,Keeps for several hours.,Five Stars,https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/product-reviews/B0000DH4LT/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,laura lee,cooler_#N/A_B0000DH4LT_laura lee_4_24, , ,AM, 
 ,#N/A,cooler,"Product Description
Keep your food and drinks cold, and keep the fun going, for up to 3 days when you bring a Coleman 48 Quart Performance Cooler. Large enough to hold 63 cans and tall enough to hold 2-liter bottles upright, you'll have plenty of space for refreshments for a whole group of people. Whether you're headed on an overnight camping trip, to a tailgate party, or out to a BBQ, the 2-way handles make getting to your destination easy. When the fun is done, the leak-resistant drain makes it easy to empty any excess water, so you're ready for your next fun adventure.

Amazon.com
The Coleman 48-Quart Chest Cooler combines the easy-to-carry convenience of two-way handles with the rugged durability of a hard plastic exterior and hinged lid, making it the perfect cooler for afternoons on the beach or on the game field. This innovative cooler is constructed with Thermozone insulation to keep food and beverages fresh and cold. This American-made cooler also features a rust-proof, leak-proof drain for easy emptying and cleaning, and it has the capacity to hold up to 63 12-ounce cans.

About Coleman
The Coleman Company has been creating and innovating products for recreational outdoor use since W.C. Coleman started selling gasoline-powered lanterns in 1900. Inventor of the hugely popular fold-up camp stove, Coleman developed a plastic liner for his galvanized steel coolers in 1957--the birth of the modern cooler--and the company has been improving their utility and design ever since. The array of products that bear the Coleman name now includes just about everything you might need to work or play outdoors, from tents and sleeping bags to boats, backpacks, and furniture.",https://images-na.ssl-images-amazon.com/images/I/71iq2lB8jJL._SY355_.jpg,B0000DH4LT,4.2,"Coleman 48-Quart Cooler, Blue",https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/dp/B0000DH4LT/ref=sr_1_3?ie=UTF8&qid=1498732542&sr=8-3&keywords=cooler,cooler_#N/A_B0000DH4LT,$25.48,2017-06-14 00:00:00,1.0,Ice will not last long enough to get me through a day's use. I'd not recommend this particular cooler to anyone. My old Gott cooler would go a week (not exagerating) outside in my van with ice still visible. I got this one thinking Coleman was a reputable name. It is NOT.,WON'T KEEP FOOD COLD - ICE MELTS WITHIN SHORT TIME.,https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/product-reviews/B0000DH4LT/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer,cooler_#N/A_B0000DH4LT_Amazon Customer_52_272, , ,AM, 
