driver,pBrand,pCategory,pDescr,pImgSrc,pModel,pTitle,pURL,pid,price,rDate,rRating,rText,rTitle,rURL,rUser,rid,sentiConfi,sentiment,siteCode,trigger
 ,Coleman,cooler,"Product Description
Keep your food and drinks cold, and keep the fun going, for up to 3 days when you bring a Coleman 48 Quart Performance Cooler. Large enough to hold 63 cans and tall enough to hold 2-liter bottles upright, you'll have plenty of space for refreshments for a whole group of people. Whether you're headed on an overnight camping trip, to a tailgate party, or out to a BBQ, the 2-way handles make getting to your destination easy. When the fun is done, the leak-resistant drain makes it easy to empty any excess water, so you're ready for your next fun adventure.

Amazon.com
The Coleman 48-Quart Chest Cooler combines the easy-to-carry convenience of two-way handles with the rugged durability of a hard plastic exterior and hinged lid, making it the perfect cooler for afternoons on the beach or on the game field. This innovative cooler is constructed with Thermozone insulation to keep food and beverages fresh and cold. This American-made cooler also features a rust-proof, leak-proof drain for easy emptying and cleaning, and it has the capacity to hold up to 63 12-ounce cans.

About Coleman
The Coleman Company has been creating and innovating products for recreational outdoor use since W.C. Coleman started selling gasoline-powered lanterns in 1900. Inventor of the hugely popular fold-up camp stove, Coleman developed a plastic liner for his galvanized steel coolers in 1957--the birth of the modern cooler--and the company has been improving their utility and design ever since. The array of products that bear the Coleman name now includes just about everything you might need to work or play outdoors, from tents and sleeping bags to boats, backpacks, and furniture.",https://images-na.ssl-images-amazon.com/images/I/71iq2lB8jJL._SY355_.jpg,B0000DH4LT,"Coleman 48-Quart Cooler, Blue",https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/dp/B0000DH4LT/ref=sr_1_3?ie=UTF8&qid=1496220540&sr=8-3&keywords=cooler,cooler_Coleman_B0000DH4LT,#N/A,2017-05-29 00:00:00,4.0,"Like it so far, but we'll see in the heat of summer.",Four Stars,https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/product-reviews/B0000DH4LT/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,greg,cooler_Coleman_B0000DH4LT_greg_12_52, , ,AM, 
 ,Coleman,cooler,"Product Description
Keep your food and drinks cold, and keep the fun going, for up to 3 days when you bring a Coleman 48 Quart Performance Cooler. Large enough to hold 63 cans and tall enough to hold 2-liter bottles upright, you'll have plenty of space for refreshments for a whole group of people. Whether you're headed on an overnight camping trip, to a tailgate party, or out to a BBQ, the 2-way handles make getting to your destination easy. When the fun is done, the leak-resistant drain makes it easy to empty any excess water, so you're ready for your next fun adventure.

Amazon.com
The Coleman 48-Quart Chest Cooler combines the easy-to-carry convenience of two-way handles with the rugged durability of a hard plastic exterior and hinged lid, making it the perfect cooler for afternoons on the beach or on the game field. This innovative cooler is constructed with Thermozone insulation to keep food and beverages fresh and cold. This American-made cooler also features a rust-proof, leak-proof drain for easy emptying and cleaning, and it has the capacity to hold up to 63 12-ounce cans.

About Coleman
The Coleman Company has been creating and innovating products for recreational outdoor use since W.C. Coleman started selling gasoline-powered lanterns in 1900. Inventor of the hugely popular fold-up camp stove, Coleman developed a plastic liner for his galvanized steel coolers in 1957--the birth of the modern cooler--and the company has been improving their utility and design ever since. The array of products that bear the Coleman name now includes just about everything you might need to work or play outdoors, from tents and sleeping bags to boats, backpacks, and furniture.",https://images-na.ssl-images-amazon.com/images/I/71iq2lB8jJL._SY355_.jpg,B0000DH4LT,"Coleman 48-Quart Cooler, Blue",https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/dp/B0000DH4LT/ref=sr_1_3?ie=UTF8&qid=1496220540&sr=8-3&keywords=cooler,cooler_Coleman_B0000DH4LT,#N/A,2017-05-28 00:00:00,4.0,For the price it was a bargain.,Four Stars,https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/product-reviews/B0000DH4LT/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,sunshine,cooler_Coleman_B0000DH4LT_sunshine_7_31, , ,AM, 
 ,Coleman,cooler,"Product Description
Keep your food and drinks cold, and keep the fun going, for up to 3 days when you bring a Coleman 48 Quart Performance Cooler. Large enough to hold 63 cans and tall enough to hold 2-liter bottles upright, you'll have plenty of space for refreshments for a whole group of people. Whether you're headed on an overnight camping trip, to a tailgate party, or out to a BBQ, the 2-way handles make getting to your destination easy. When the fun is done, the leak-resistant drain makes it easy to empty any excess water, so you're ready for your next fun adventure.

Amazon.com
The Coleman 48-Quart Chest Cooler combines the easy-to-carry convenience of two-way handles with the rugged durability of a hard plastic exterior and hinged lid, making it the perfect cooler for afternoons on the beach or on the game field. This innovative cooler is constructed with Thermozone insulation to keep food and beverages fresh and cold. This American-made cooler also features a rust-proof, leak-proof drain for easy emptying and cleaning, and it has the capacity to hold up to 63 12-ounce cans.

About Coleman
The Coleman Company has been creating and innovating products for recreational outdoor use since W.C. Coleman started selling gasoline-powered lanterns in 1900. Inventor of the hugely popular fold-up camp stove, Coleman developed a plastic liner for his galvanized steel coolers in 1957--the birth of the modern cooler--and the company has been improving their utility and design ever since. The array of products that bear the Coleman name now includes just about everything you might need to work or play outdoors, from tents and sleeping bags to boats, backpacks, and furniture.",https://images-na.ssl-images-amazon.com/images/I/71iq2lB8jJL._SY355_.jpg,B0000DH4LT,"Coleman 48-Quart Cooler, Blue",https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/dp/B0000DH4LT/ref=sr_1_3?ie=UTF8&qid=1496220540&sr=8-3&keywords=cooler,cooler_Coleman_B0000DH4LT,#N/A,2017-05-22 00:00:00,5.0,Wish it was a little more sturdy. Very light weight.,Five Stars,https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/product-reviews/B0000DH4LT/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Customer,cooler_Coleman_B0000DH4LT_Customer_10_52, , ,AM, 
 ,Coleman,cooler,"Product Description
Keep your food and drinks cold, and keep the fun going, for up to 3 days when you bring a Coleman 48 Quart Performance Cooler. Large enough to hold 63 cans and tall enough to hold 2-liter bottles upright, you'll have plenty of space for refreshments for a whole group of people. Whether you're headed on an overnight camping trip, to a tailgate party, or out to a BBQ, the 2-way handles make getting to your destination easy. When the fun is done, the leak-resistant drain makes it easy to empty any excess water, so you're ready for your next fun adventure.

Amazon.com
The Coleman 48-Quart Chest Cooler combines the easy-to-carry convenience of two-way handles with the rugged durability of a hard plastic exterior and hinged lid, making it the perfect cooler for afternoons on the beach or on the game field. This innovative cooler is constructed with Thermozone insulation to keep food and beverages fresh and cold. This American-made cooler also features a rust-proof, leak-proof drain for easy emptying and cleaning, and it has the capacity to hold up to 63 12-ounce cans.

About Coleman
The Coleman Company has been creating and innovating products for recreational outdoor use since W.C. Coleman started selling gasoline-powered lanterns in 1900. Inventor of the hugely popular fold-up camp stove, Coleman developed a plastic liner for his galvanized steel coolers in 1957--the birth of the modern cooler--and the company has been improving their utility and design ever since. The array of products that bear the Coleman name now includes just about everything you might need to work or play outdoors, from tents and sleeping bags to boats, backpacks, and furniture.",https://images-na.ssl-images-amazon.com/images/I/71iq2lB8jJL._SY355_.jpg,B0000DH4LT,"Coleman 48-Quart Cooler, Blue",https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/dp/B0000DH4LT/ref=sr_1_3?ie=UTF8&qid=1496220540&sr=8-3&keywords=cooler,cooler_Coleman_B0000DH4LT,#N/A,2017-05-22 00:00:00,4.0,Took it four wheeling a couple times already. Keeps the ice for a couple days. Depending on how much weight is in it the lid is hard to open. Tight seal I guess.,Took it four wheeling a couple times already. Keeps ...,https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/product-reviews/B0000DH4LT/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Robert Donahue,cooler_Coleman_B0000DH4LT_Robert Donahue_33_161, , ,AM, 
 ,Coleman,cooler,"Product Description
Keep your food and drinks cold, and keep the fun going, for up to 3 days when you bring a Coleman 48 Quart Performance Cooler. Large enough to hold 63 cans and tall enough to hold 2-liter bottles upright, you'll have plenty of space for refreshments for a whole group of people. Whether you're headed on an overnight camping trip, to a tailgate party, or out to a BBQ, the 2-way handles make getting to your destination easy. When the fun is done, the leak-resistant drain makes it easy to empty any excess water, so you're ready for your next fun adventure.

Amazon.com
The Coleman 48-Quart Chest Cooler combines the easy-to-carry convenience of two-way handles with the rugged durability of a hard plastic exterior and hinged lid, making it the perfect cooler for afternoons on the beach or on the game field. This innovative cooler is constructed with Thermozone insulation to keep food and beverages fresh and cold. This American-made cooler also features a rust-proof, leak-proof drain for easy emptying and cleaning, and it has the capacity to hold up to 63 12-ounce cans.

About Coleman
The Coleman Company has been creating and innovating products for recreational outdoor use since W.C. Coleman started selling gasoline-powered lanterns in 1900. Inventor of the hugely popular fold-up camp stove, Coleman developed a plastic liner for his galvanized steel coolers in 1957--the birth of the modern cooler--and the company has been improving their utility and design ever since. The array of products that bear the Coleman name now includes just about everything you might need to work or play outdoors, from tents and sleeping bags to boats, backpacks, and furniture.",https://images-na.ssl-images-amazon.com/images/I/71iq2lB8jJL._SY355_.jpg,B0000DH4LT,"Coleman 48-Quart Cooler, Blue",https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/dp/B0000DH4LT/ref=sr_1_3?ie=UTF8&qid=1496220540&sr=8-3&keywords=cooler,cooler_Coleman_B0000DH4LT,#N/A,2017-05-21 00:00:00,4.0,"Safe purchase for the price. If you want a cooler that gets the job done and doesn't break the bank, I'd recommend this cooler. It's not incredibly thick or awardly large. It's upper medium in size but is shaped nicely to fit in your car. Clever handles. Easy to use drain. I'd use care with the cap to the drain and the hinges on the lid. We've all seen how over time these items can deteriorate. No bells and whistles, but worth the money.",SOLID 4 Stars,https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/product-reviews/B0000DH4LT/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,yarrumekim,cooler_Coleman_B0000DH4LT_yarrumekim_84_441, , ,AM, 
 ,Coleman,cooler,"Product Description
Keep your food and drinks cold, and keep the fun going, for up to 3 days when you bring a Coleman 48 Quart Performance Cooler. Large enough to hold 63 cans and tall enough to hold 2-liter bottles upright, you'll have plenty of space for refreshments for a whole group of people. Whether you're headed on an overnight camping trip, to a tailgate party, or out to a BBQ, the 2-way handles make getting to your destination easy. When the fun is done, the leak-resistant drain makes it easy to empty any excess water, so you're ready for your next fun adventure.

Amazon.com
The Coleman 48-Quart Chest Cooler combines the easy-to-carry convenience of two-way handles with the rugged durability of a hard plastic exterior and hinged lid, making it the perfect cooler for afternoons on the beach or on the game field. This innovative cooler is constructed with Thermozone insulation to keep food and beverages fresh and cold. This American-made cooler also features a rust-proof, leak-proof drain for easy emptying and cleaning, and it has the capacity to hold up to 63 12-ounce cans.

About Coleman
The Coleman Company has been creating and innovating products for recreational outdoor use since W.C. Coleman started selling gasoline-powered lanterns in 1900. Inventor of the hugely popular fold-up camp stove, Coleman developed a plastic liner for his galvanized steel coolers in 1957--the birth of the modern cooler--and the company has been improving their utility and design ever since. The array of products that bear the Coleman name now includes just about everything you might need to work or play outdoors, from tents and sleeping bags to boats, backpacks, and furniture.",https://images-na.ssl-images-amazon.com/images/I/71iq2lB8jJL._SY355_.jpg,B0000DH4LT,"Coleman 48-Quart Cooler, Blue",https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/dp/B0000DH4LT/ref=sr_1_3?ie=UTF8&qid=1496220540&sr=8-3&keywords=cooler,cooler_Coleman_B0000DH4LT,#N/A,2017-05-20 00:00:00,5.0,"Very good deal, I'm very happy with the cooler.",Great price,https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/product-reviews/B0000DH4LT/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,andrew,cooler_Coleman_B0000DH4LT_andrew_9_47, , ,AM, 
 ,Coleman,cooler,"Product Description
Keep your food and drinks cold, and keep the fun going, for up to 3 days when you bring a Coleman 48 Quart Performance Cooler. Large enough to hold 63 cans and tall enough to hold 2-liter bottles upright, you'll have plenty of space for refreshments for a whole group of people. Whether you're headed on an overnight camping trip, to a tailgate party, or out to a BBQ, the 2-way handles make getting to your destination easy. When the fun is done, the leak-resistant drain makes it easy to empty any excess water, so you're ready for your next fun adventure.

Amazon.com
The Coleman 48-Quart Chest Cooler combines the easy-to-carry convenience of two-way handles with the rugged durability of a hard plastic exterior and hinged lid, making it the perfect cooler for afternoons on the beach or on the game field. This innovative cooler is constructed with Thermozone insulation to keep food and beverages fresh and cold. This American-made cooler also features a rust-proof, leak-proof drain for easy emptying and cleaning, and it has the capacity to hold up to 63 12-ounce cans.

About Coleman
The Coleman Company has been creating and innovating products for recreational outdoor use since W.C. Coleman started selling gasoline-powered lanterns in 1900. Inventor of the hugely popular fold-up camp stove, Coleman developed a plastic liner for his galvanized steel coolers in 1957--the birth of the modern cooler--and the company has been improving their utility and design ever since. The array of products that bear the Coleman name now includes just about everything you might need to work or play outdoors, from tents and sleeping bags to boats, backpacks, and furniture.",https://images-na.ssl-images-amazon.com/images/I/71iq2lB8jJL._SY355_.jpg,B0000DH4LT,"Coleman 48-Quart Cooler, Blue",https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/dp/B0000DH4LT/ref=sr_1_3?ie=UTF8&qid=1496220540&sr=8-3&keywords=cooler,cooler_Coleman_B0000DH4LT,#N/A,2017-05-17 00:00:00,5.0,"I have repurposed it to use as a tub to wash my clothes in. Because of the spigot on the side, I don't have to lift the tub to drain the water between the wash and the rince cycle. Who knows, someday I might actually need to use it as the cooler it was intended to be.",Repurposed as a washtub...,https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/product-reviews/B0000DH4LT/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Jo S.,cooler_Coleman_B0000DH4LT_Jo S._57_268, , ,AM, 
 ,Coleman,cooler,"Product Description
Keep your food and drinks cold, and keep the fun going, for up to 3 days when you bring a Coleman 48 Quart Performance Cooler. Large enough to hold 63 cans and tall enough to hold 2-liter bottles upright, you'll have plenty of space for refreshments for a whole group of people. Whether you're headed on an overnight camping trip, to a tailgate party, or out to a BBQ, the 2-way handles make getting to your destination easy. When the fun is done, the leak-resistant drain makes it easy to empty any excess water, so you're ready for your next fun adventure.

Amazon.com
The Coleman 48-Quart Chest Cooler combines the easy-to-carry convenience of two-way handles with the rugged durability of a hard plastic exterior and hinged lid, making it the perfect cooler for afternoons on the beach or on the game field. This innovative cooler is constructed with Thermozone insulation to keep food and beverages fresh and cold. This American-made cooler also features a rust-proof, leak-proof drain for easy emptying and cleaning, and it has the capacity to hold up to 63 12-ounce cans.

About Coleman
The Coleman Company has been creating and innovating products for recreational outdoor use since W.C. Coleman started selling gasoline-powered lanterns in 1900. Inventor of the hugely popular fold-up camp stove, Coleman developed a plastic liner for his galvanized steel coolers in 1957--the birth of the modern cooler--and the company has been improving their utility and design ever since. The array of products that bear the Coleman name now includes just about everything you might need to work or play outdoors, from tents and sleeping bags to boats, backpacks, and furniture.",https://images-na.ssl-images-amazon.com/images/I/71iq2lB8jJL._SY355_.jpg,B0000DH4LT,"Coleman 48-Quart Cooler, Blue",https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/dp/B0000DH4LT/ref=sr_1_3?ie=UTF8&qid=1496220540&sr=8-3&keywords=cooler,cooler_Coleman_B0000DH4LT,#N/A,2017-05-05 00:00:00,5.0,"With summer time coming up,i strongly recommend this product!!! It work's beautifully at outing's and cook out's!!! And although that's sounds extremely topical,never the less it's very handy!!! So until then,peace and much respect!!!",i strongly recommend this product,https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/product-reviews/B0000DH4LT/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,jimeil e mcalister,cooler_Coleman_B0000DH4LT_jimeil e mcalister_34_234, , ,AM, 
 ,Coleman,cooler,"Product Description
Keep your food and drinks cold, and keep the fun going, for up to 3 days when you bring a Coleman 48 Quart Performance Cooler. Large enough to hold 63 cans and tall enough to hold 2-liter bottles upright, you'll have plenty of space for refreshments for a whole group of people. Whether you're headed on an overnight camping trip, to a tailgate party, or out to a BBQ, the 2-way handles make getting to your destination easy. When the fun is done, the leak-resistant drain makes it easy to empty any excess water, so you're ready for your next fun adventure.

Amazon.com
The Coleman 48-Quart Chest Cooler combines the easy-to-carry convenience of two-way handles with the rugged durability of a hard plastic exterior and hinged lid, making it the perfect cooler for afternoons on the beach or on the game field. This innovative cooler is constructed with Thermozone insulation to keep food and beverages fresh and cold. This American-made cooler also features a rust-proof, leak-proof drain for easy emptying and cleaning, and it has the capacity to hold up to 63 12-ounce cans.

About Coleman
The Coleman Company has been creating and innovating products for recreational outdoor use since W.C. Coleman started selling gasoline-powered lanterns in 1900. Inventor of the hugely popular fold-up camp stove, Coleman developed a plastic liner for his galvanized steel coolers in 1957--the birth of the modern cooler--and the company has been improving their utility and design ever since. The array of products that bear the Coleman name now includes just about everything you might need to work or play outdoors, from tents and sleeping bags to boats, backpacks, and furniture.",https://images-na.ssl-images-amazon.com/images/I/71iq2lB8jJL._SY355_.jpg,B0000DH4LT,"Coleman 48-Quart Cooler, Blue",https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/dp/B0000DH4LT/ref=sr_1_3?ie=UTF8&qid=1496220540&sr=8-3&keywords=cooler,cooler_Coleman_B0000DH4LT,#N/A,2017-05-04 00:00:00,4.0,Great but it would work better if the top was removable instead of hinged.,Four Stars,https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/product-reviews/B0000DH4LT/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Mary G.,cooler_Coleman_B0000DH4LT_Mary G._14_74, , ,AM, 
 ,Coleman,cooler,"Product Description
Keep your food and drinks cold, and keep the fun going, for up to 3 days when you bring a Coleman 48 Quart Performance Cooler. Large enough to hold 63 cans and tall enough to hold 2-liter bottles upright, you'll have plenty of space for refreshments for a whole group of people. Whether you're headed on an overnight camping trip, to a tailgate party, or out to a BBQ, the 2-way handles make getting to your destination easy. When the fun is done, the leak-resistant drain makes it easy to empty any excess water, so you're ready for your next fun adventure.

Amazon.com
The Coleman 48-Quart Chest Cooler combines the easy-to-carry convenience of two-way handles with the rugged durability of a hard plastic exterior and hinged lid, making it the perfect cooler for afternoons on the beach or on the game field. This innovative cooler is constructed with Thermozone insulation to keep food and beverages fresh and cold. This American-made cooler also features a rust-proof, leak-proof drain for easy emptying and cleaning, and it has the capacity to hold up to 63 12-ounce cans.

About Coleman
The Coleman Company has been creating and innovating products for recreational outdoor use since W.C. Coleman started selling gasoline-powered lanterns in 1900. Inventor of the hugely popular fold-up camp stove, Coleman developed a plastic liner for his galvanized steel coolers in 1957--the birth of the modern cooler--and the company has been improving their utility and design ever since. The array of products that bear the Coleman name now includes just about everything you might need to work or play outdoors, from tents and sleeping bags to boats, backpacks, and furniture.",https://images-na.ssl-images-amazon.com/images/I/71iq2lB8jJL._SY355_.jpg,B0000DH4LT,"Coleman 48-Quart Cooler, Blue",https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/dp/B0000DH4LT/ref=sr_1_3?ie=UTF8&qid=1496220540&sr=8-3&keywords=cooler,cooler_Coleman_B0000DH4LT,#N/A,2017-05-04 00:00:00,4.0,It is description as the title.,Four Stars,https://www.amazon.com/Coleman-Quart-Performance-Cooler-Holds/product-reviews/B0000DH4LT/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,JaniceL,cooler_Coleman_B0000DH4LT_JaniceL_6_31, , ,AM, 
