driver,pBrand,pCategory,pDescr,pImgSrc,pModel,pTitle,pURL,pid,price,rDate,rRating,rText,rTitle,rURL,rUser,sentiConfi,sentiment,siteCode,trigger
 ,Panda,dryer,"Size:Panda 8.8lbs Capacity/2.65 Cu.ft
This compact dryer with 8.8lbs cloth capacity/ 2.65 cu.ft makes it easy to quickly dry clothes, sheets, table linens, and more, without taking up a lot of room--Perfect for apartments or other small living spaces. It perfectly coordinate with any Panda washers, and any other compact washing machines. 110Voltage can be plugged anywhere. key Features: Brand: Panda Model: PAN40SF (Apartment Size) 120V / 60H White 8.8lbs capacity /2.65cu.ft. Power Source: 110V - 120V / 50HZ - 60HZ Rated Input: 1400W / 800W Stainless steel tub 4 dryer temperature selections Wall mounting bracket included Removable lint filter included Unit Dimensions (W * D * H): 23.62"" x 17.12"" x 27.56"" Master Carton Dimensions (W * D * H): 25.60"" x 18.11"" x 29.33"" Unit Weight: 44lbs Master Carton Weight: 48.4lb 1 year manufacture warranty",https://images-na.ssl-images-amazon.com/images/I/41Onrb4HqxL._SY355_.jpg,B0092JSGXI,Panda Portable Compact Cloths Dryer Apartment Size 110v stainless Steel Drum See Through Window8.8lbs Capacity/2.65 cu.ft,https://www.amazon.com/Panda-Portable-Apartment-stainless-Window8-8lbs/dp/B0092JSGXI/ref=sr_1_3?ie=UTF8&qid=1495543129&sr=8-3&keywords=dryer,dryer_Panda_B0092JSGXI,$249.99,2017-05-20 00:00:00,1.0,"Don't waste your money, and save yourself a huge headache! There is no lint catcher which causes the lint to build up inside the dryer. I have had this dryer for under a year and have tried so many ways to rectify this problem without success, and now the dryer has died.",DO NOT BUY!,https://www.amazon.com/Panda-Portable-Apartment-stainless-Window8-8lbs/product-reviews/B0092JSGXI/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Verne, , ,AM, 
 ,Panda,dryer,"Size:Panda 8.8lbs Capacity/2.65 Cu.ft
This compact dryer with 8.8lbs cloth capacity/ 2.65 cu.ft makes it easy to quickly dry clothes, sheets, table linens, and more, without taking up a lot of room--Perfect for apartments or other small living spaces. It perfectly coordinate with any Panda washers, and any other compact washing machines. 110Voltage can be plugged anywhere. key Features: Brand: Panda Model: PAN40SF (Apartment Size) 120V / 60H White 8.8lbs capacity /2.65cu.ft. Power Source: 110V - 120V / 50HZ - 60HZ Rated Input: 1400W / 800W Stainless steel tub 4 dryer temperature selections Wall mounting bracket included Removable lint filter included Unit Dimensions (W * D * H): 23.62"" x 17.12"" x 27.56"" Master Carton Dimensions (W * D * H): 25.60"" x 18.11"" x 29.33"" Unit Weight: 44lbs Master Carton Weight: 48.4lb 1 year manufacture warranty",https://images-na.ssl-images-amazon.com/images/I/41Onrb4HqxL._SY355_.jpg,B0092JSGXI,Panda Portable Compact Cloths Dryer Apartment Size 110v stainless Steel Drum See Through Window8.8lbs Capacity/2.65 cu.ft,https://www.amazon.com/Panda-Portable-Apartment-stainless-Window8-8lbs/dp/B0092JSGXI/ref=sr_1_3?ie=UTF8&qid=1495543129&sr=8-3&keywords=dryer,dryer_Panda_B0092JSGXI,$249.99,2017-05-17 00:00:00,1.0,No me to sign the rose! The packing in the door is damaged!,One Star,https://www.amazon.com/Panda-Portable-Apartment-stainless-Window8-8lbs/product-reviews/B0092JSGXI/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer, , ,AM, 
 ,Panda,dryer,"Size:Panda 8.8lbs Capacity/2.65 Cu.ft
This compact dryer with 8.8lbs cloth capacity/ 2.65 cu.ft makes it easy to quickly dry clothes, sheets, table linens, and more, without taking up a lot of room--Perfect for apartments or other small living spaces. It perfectly coordinate with any Panda washers, and any other compact washing machines. 110Voltage can be plugged anywhere. key Features: Brand: Panda Model: PAN40SF (Apartment Size) 120V / 60H White 8.8lbs capacity /2.65cu.ft. Power Source: 110V - 120V / 50HZ - 60HZ Rated Input: 1400W / 800W Stainless steel tub 4 dryer temperature selections Wall mounting bracket included Removable lint filter included Unit Dimensions (W * D * H): 23.62"" x 17.12"" x 27.56"" Master Carton Dimensions (W * D * H): 25.60"" x 18.11"" x 29.33"" Unit Weight: 44lbs Master Carton Weight: 48.4lb 1 year manufacture warranty",https://images-na.ssl-images-amazon.com/images/I/41Onrb4HqxL._SY355_.jpg,B0092JSGXI,Panda Portable Compact Cloths Dryer Apartment Size 110v stainless Steel Drum See Through Window8.8lbs Capacity/2.65 cu.ft,https://www.amazon.com/Panda-Portable-Apartment-stainless-Window8-8lbs/dp/B0092JSGXI/ref=sr_1_3?ie=UTF8&qid=1495543129&sr=8-3&keywords=dryer,dryer_Panda_B0092JSGXI,$249.99,2017-05-08 00:00:00,4.0,"It works pretty good, I wish I'd gotten the bigger one though. The filter thing has to be vacuumed often, it would've been nice iif it had come with an extra one.",Pretty good,https://www.amazon.com/Panda-Portable-Apartment-stainless-Window8-8lbs/product-reviews/B0092JSGXI/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Brittany, , ,AM, 
 ,Panda,dryer,"Size:Panda 8.8lbs Capacity/2.65 Cu.ft
This compact dryer with 8.8lbs cloth capacity/ 2.65 cu.ft makes it easy to quickly dry clothes, sheets, table linens, and more, without taking up a lot of room--Perfect for apartments or other small living spaces. It perfectly coordinate with any Panda washers, and any other compact washing machines. 110Voltage can be plugged anywhere. key Features: Brand: Panda Model: PAN40SF (Apartment Size) 120V / 60H White 8.8lbs capacity /2.65cu.ft. Power Source: 110V - 120V / 50HZ - 60HZ Rated Input: 1400W / 800W Stainless steel tub 4 dryer temperature selections Wall mounting bracket included Removable lint filter included Unit Dimensions (W * D * H): 23.62"" x 17.12"" x 27.56"" Master Carton Dimensions (W * D * H): 25.60"" x 18.11"" x 29.33"" Unit Weight: 44lbs Master Carton Weight: 48.4lb 1 year manufacture warranty",https://images-na.ssl-images-amazon.com/images/I/41Onrb4HqxL._SY355_.jpg,B0092JSGXI,Panda Portable Compact Cloths Dryer Apartment Size 110v stainless Steel Drum See Through Window8.8lbs Capacity/2.65 cu.ft,https://www.amazon.com/Panda-Portable-Apartment-stainless-Window8-8lbs/dp/B0092JSGXI/ref=sr_1_3?ie=UTF8&qid=1495543129&sr=8-3&keywords=dryer,dryer_Panda_B0092JSGXI,$249.99,2017-05-04 00:00:00,5.0,"We bought this compact dryer when mother-in-law became frail and needed 24 hour care. She used to hang up her clothes either outside or in her basement. This became impossible as the aides had to change her sheets and cloth bed pads daily; additionally, it was used for daily bath towels, and clothes. Through all of this it has lasted a little over 3 years. We just re-order it.

What ultimately happened is the ball-bearing broke. When my husband took the back of the dryer off there were little steel balls just loose in the back.

All in all, considering the heavy use this dryer has endured, it is a bargain and highly recommended for people who do not have space for a full size dryer.","Small, but mighty!!",https://www.amazon.com/Panda-Portable-Apartment-stainless-Window8-8lbs/product-reviews/B0092JSGXI/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Kathryn A. Brady, , ,AM, 
 ,Panda,dryer,"Size:Panda 8.8lbs Capacity/2.65 Cu.ft
This compact dryer with 8.8lbs cloth capacity/ 2.65 cu.ft makes it easy to quickly dry clothes, sheets, table linens, and more, without taking up a lot of room--Perfect for apartments or other small living spaces. It perfectly coordinate with any Panda washers, and any other compact washing machines. 110Voltage can be plugged anywhere. key Features: Brand: Panda Model: PAN40SF (Apartment Size) 120V / 60H White 8.8lbs capacity /2.65cu.ft. Power Source: 110V - 120V / 50HZ - 60HZ Rated Input: 1400W / 800W Stainless steel tub 4 dryer temperature selections Wall mounting bracket included Removable lint filter included Unit Dimensions (W * D * H): 23.62"" x 17.12"" x 27.56"" Master Carton Dimensions (W * D * H): 25.60"" x 18.11"" x 29.33"" Unit Weight: 44lbs Master Carton Weight: 48.4lb 1 year manufacture warranty",https://images-na.ssl-images-amazon.com/images/I/41Onrb4HqxL._SY355_.jpg,B0092JSGXI,Panda Portable Compact Cloths Dryer Apartment Size 110v stainless Steel Drum See Through Window8.8lbs Capacity/2.65 cu.ft,https://www.amazon.com/Panda-Portable-Apartment-stainless-Window8-8lbs/dp/B0092JSGXI/ref=sr_1_3?ie=UTF8&qid=1495543129&sr=8-3&keywords=dryer,dryer_Panda_B0092JSGXI,$249.99,2017-05-03 00:00:00,5.0,Its much bigger than what I expected and goes well with my 2.1cu washer! Came a day early and was double packed really well.,Powerful,https://www.amazon.com/Panda-Portable-Apartment-stainless-Window8-8lbs/product-reviews/B0092JSGXI/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Tiara W., , ,AM, 
 ,Panda,dryer,"Size:Panda 8.8lbs Capacity/2.65 Cu.ft
This compact dryer with 8.8lbs cloth capacity/ 2.65 cu.ft makes it easy to quickly dry clothes, sheets, table linens, and more, without taking up a lot of room--Perfect for apartments or other small living spaces. It perfectly coordinate with any Panda washers, and any other compact washing machines. 110Voltage can be plugged anywhere. key Features: Brand: Panda Model: PAN40SF (Apartment Size) 120V / 60H White 8.8lbs capacity /2.65cu.ft. Power Source: 110V - 120V / 50HZ - 60HZ Rated Input: 1400W / 800W Stainless steel tub 4 dryer temperature selections Wall mounting bracket included Removable lint filter included Unit Dimensions (W * D * H): 23.62"" x 17.12"" x 27.56"" Master Carton Dimensions (W * D * H): 25.60"" x 18.11"" x 29.33"" Unit Weight: 44lbs Master Carton Weight: 48.4lb 1 year manufacture warranty",https://images-na.ssl-images-amazon.com/images/I/41Onrb4HqxL._SY355_.jpg,B0092JSGXI,Panda Portable Compact Cloths Dryer Apartment Size 110v stainless Steel Drum See Through Window8.8lbs Capacity/2.65 cu.ft,https://www.amazon.com/Panda-Portable-Apartment-stainless-Window8-8lbs/dp/B0092JSGXI/ref=sr_1_3?ie=UTF8&qid=1495543129&sr=8-3&keywords=dryer,dryer_Panda_B0092JSGXI,$249.99,2017-05-02 00:00:00,5.0,Able to dry loads quickly. Very nice dryer,Very nice,https://www.amazon.com/Panda-Portable-Apartment-stainless-Window8-8lbs/product-reviews/B0092JSGXI/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,judy bollinger, , ,AM, 
 ,Panda,dryer,"Size:Panda 8.8lbs Capacity/2.65 Cu.ft
This compact dryer with 8.8lbs cloth capacity/ 2.65 cu.ft makes it easy to quickly dry clothes, sheets, table linens, and more, without taking up a lot of room--Perfect for apartments or other small living spaces. It perfectly coordinate with any Panda washers, and any other compact washing machines. 110Voltage can be plugged anywhere. key Features: Brand: Panda Model: PAN40SF (Apartment Size) 120V / 60H White 8.8lbs capacity /2.65cu.ft. Power Source: 110V - 120V / 50HZ - 60HZ Rated Input: 1400W / 800W Stainless steel tub 4 dryer temperature selections Wall mounting bracket included Removable lint filter included Unit Dimensions (W * D * H): 23.62"" x 17.12"" x 27.56"" Master Carton Dimensions (W * D * H): 25.60"" x 18.11"" x 29.33"" Unit Weight: 44lbs Master Carton Weight: 48.4lb 1 year manufacture warranty",https://images-na.ssl-images-amazon.com/images/I/41Onrb4HqxL._SY355_.jpg,B0092JSGXI,Panda Portable Compact Cloths Dryer Apartment Size 110v stainless Steel Drum See Through Window8.8lbs Capacity/2.65 cu.ft,https://www.amazon.com/Panda-Portable-Apartment-stainless-Window8-8lbs/dp/B0092JSGXI/ref=sr_1_3?ie=UTF8&qid=1495543129&sr=8-3&keywords=dryer,dryer_Panda_B0092JSGXI,$249.99,2017-04-30 00:00:00,1.0,Horrible,Worst thing ever,https://www.amazon.com/Panda-Portable-Apartment-stainless-Window8-8lbs/product-reviews/B0092JSGXI/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,sharavia dunn, , ,AM, 
 ,Panda,dryer,"Size:Panda 8.8lbs Capacity/2.65 Cu.ft
This compact dryer with 8.8lbs cloth capacity/ 2.65 cu.ft makes it easy to quickly dry clothes, sheets, table linens, and more, without taking up a lot of room--Perfect for apartments or other small living spaces. It perfectly coordinate with any Panda washers, and any other compact washing machines. 110Voltage can be plugged anywhere. key Features: Brand: Panda Model: PAN40SF (Apartment Size) 120V / 60H White 8.8lbs capacity /2.65cu.ft. Power Source: 110V - 120V / 50HZ - 60HZ Rated Input: 1400W / 800W Stainless steel tub 4 dryer temperature selections Wall mounting bracket included Removable lint filter included Unit Dimensions (W * D * H): 23.62"" x 17.12"" x 27.56"" Master Carton Dimensions (W * D * H): 25.60"" x 18.11"" x 29.33"" Unit Weight: 44lbs Master Carton Weight: 48.4lb 1 year manufacture warranty",https://images-na.ssl-images-amazon.com/images/I/41Onrb4HqxL._SY355_.jpg,B0092JSGXI,Panda Portable Compact Cloths Dryer Apartment Size 110v stainless Steel Drum See Through Window8.8lbs Capacity/2.65 cu.ft,https://www.amazon.com/Panda-Portable-Apartment-stainless-Window8-8lbs/dp/B0092JSGXI/ref=sr_1_3?ie=UTF8&qid=1495543129&sr=8-3&keywords=dryer,dryer_Panda_B0092JSGXI,$249.99,2017-04-29 00:00:00,4.0,"I've had this product at least a year, maybe more. It's still going strong. I do not use the felt that comes in the lint trap. It quickly became annoying. Once I've had to take the back off and vacuum out the dust. That may because I don't used the felt. Takes a while to dry stuff of course bc it's an apartment dryer but I knew that when buying and I'm happy with it. I removed one star because often the time knob turns the wrong way and multiple times in a cycle I have to go restart it.",Going strong,https://www.amazon.com/Panda-Portable-Apartment-stainless-Window8-8lbs/product-reviews/B0092JSGXI/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Brandi, , ,AM, 
 ,Panda,dryer,"Size:Panda 8.8lbs Capacity/2.65 Cu.ft
This compact dryer with 8.8lbs cloth capacity/ 2.65 cu.ft makes it easy to quickly dry clothes, sheets, table linens, and more, without taking up a lot of room--Perfect for apartments or other small living spaces. It perfectly coordinate with any Panda washers, and any other compact washing machines. 110Voltage can be plugged anywhere. key Features: Brand: Panda Model: PAN40SF (Apartment Size) 120V / 60H White 8.8lbs capacity /2.65cu.ft. Power Source: 110V - 120V / 50HZ - 60HZ Rated Input: 1400W / 800W Stainless steel tub 4 dryer temperature selections Wall mounting bracket included Removable lint filter included Unit Dimensions (W * D * H): 23.62"" x 17.12"" x 27.56"" Master Carton Dimensions (W * D * H): 25.60"" x 18.11"" x 29.33"" Unit Weight: 44lbs Master Carton Weight: 48.4lb 1 year manufacture warranty",https://images-na.ssl-images-amazon.com/images/I/41Onrb4HqxL._SY355_.jpg,B0092JSGXI,Panda Portable Compact Cloths Dryer Apartment Size 110v stainless Steel Drum See Through Window8.8lbs Capacity/2.65 cu.ft,https://www.amazon.com/Panda-Portable-Apartment-stainless-Window8-8lbs/dp/B0092JSGXI/ref=sr_1_3?ie=UTF8&qid=1495543129&sr=8-3&keywords=dryer,dryer_Panda_B0092JSGXI,$249.99,2017-04-28 00:00:00,2.0,"Capacity is over-estimated, takes forever to dry, and clothes come out smelling bad! And, if all that was not bad enough... the controls are on the bottom ???",and clothes come out smelling bad! And,https://www.amazon.com/Panda-Portable-Apartment-stainless-Window8-8lbs/product-reviews/B0092JSGXI/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Trisha, , ,AM, 
 ,Panda,dryer,"Size:Panda 8.8lbs Capacity/2.65 Cu.ft
This compact dryer with 8.8lbs cloth capacity/ 2.65 cu.ft makes it easy to quickly dry clothes, sheets, table linens, and more, without taking up a lot of room--Perfect for apartments or other small living spaces. It perfectly coordinate with any Panda washers, and any other compact washing machines. 110Voltage can be plugged anywhere. key Features: Brand: Panda Model: PAN40SF (Apartment Size) 120V / 60H White 8.8lbs capacity /2.65cu.ft. Power Source: 110V - 120V / 50HZ - 60HZ Rated Input: 1400W / 800W Stainless steel tub 4 dryer temperature selections Wall mounting bracket included Removable lint filter included Unit Dimensions (W * D * H): 23.62"" x 17.12"" x 27.56"" Master Carton Dimensions (W * D * H): 25.60"" x 18.11"" x 29.33"" Unit Weight: 44lbs Master Carton Weight: 48.4lb 1 year manufacture warranty",https://images-na.ssl-images-amazon.com/images/I/41Onrb4HqxL._SY355_.jpg,B0092JSGXI,Panda Portable Compact Cloths Dryer Apartment Size 110v stainless Steel Drum See Through Window8.8lbs Capacity/2.65 cu.ft,https://www.amazon.com/Panda-Portable-Apartment-stainless-Window8-8lbs/dp/B0092JSGXI/ref=sr_1_3?ie=UTF8&qid=1495543129&sr=8-3&keywords=dryer,dryer_Panda_B0092JSGXI,$249.99,2017-04-27 00:00:00,5.0,what an amazing improvement to my life this little machine has made! it's great in my small apartment and i couldnt recommend it more.,what an amazing improvement to my life this little machine has made,https://www.amazon.com/Panda-Portable-Apartment-stainless-Window8-8lbs/product-reviews/B0092JSGXI/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,cp8, , ,AM, 
