driver,pBrand,pCategory,pDescr,pImgSrc,pModel,pRating,pTitle,pURL,pid,price,rDate,rRating,rText,rTitle,rURL,rUser,rid,sentiScore,sentiment,siteCode,trigger
 ,Fosmon,earphone,"SKU: A1526*5Pack 5 Pack of Fosmon White Earphone Mic for Apple iPhones, iPods, iPads5 Pack of High-Quality earphones for iPod, iPhone and all other MP3 players with built in microphone for hand free conversation. Also contains built in pause or play button.Key Specifications/Special Features:100% Brand New Fosmon Item.Built-in microphone for hands free conversations.High-Quality earphones for iPod, iPhone, iPad and all other MP3 players.Premium sound quality.Standard 3.5mm earphone plug fits all MP3 players with 3.5mm jack.Stylish design (non OEM) to fit your iPod, iPhone or other MP3players.Color: WhiteQty: 5Model Compatible:UniversalApple iPod Touch all generationApple iPhoneApple iPhone 3GApple iPhone 3GSApple iPhone 4S / 4Apple iPhone 5 5C 5S SEApple iPhone 6 6S 6 Plus 6S PlusApple iPad 1 / 2 / 3 / 4 / Air / ProApple iPad Mini 1 / 2 / 3Condition: Brand New",https://i5.walmartimages.com/asr/1fa63f57-5da6-4f05-9da5-364b567471d6_1.8e80caf83a361df451ad633b28aaaff9.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,118494616,3.5,5 Pack of Earphone Mic for Apple iPhone 6 5S 5C 5 4S SE iPod iPad Earbud Headset,https://www.walmart.com/ip/5-Pack-of-Earphone-Mic-for-Apple-iPhone-6-5S-5C-5-4S-SE-iPod-iPad-Earbud-Headset/118494616,earphone_Fosmon_118494616,$1.99,2017-02-25 00:00:00,4,"I'll be honest, if you're looking for sturdy earbuds that will stand the test of time (or last more than a month) these probably aren't for you. The rubber is weak and cracks after a few weeks if you don't take care of them. The earbuds themselves don't fit well in my ears. The sound quality isn't off the charts either but...  I still think they are worth the price I paid for it and will likely buy more.

If you're looking for a pack of disposable backups or if you're like me and you treat your earbuds pretty harshly all the time these prove to be more worthwhile. No matter how much I pay for earbuds I typically break them within a month. I'd rather spend the couple bucks per I'm spending on these than 20 to 50 I've paid before to still end up having to toss them after a month or so.

Overall you get what you pay for but I can tell that generally with a little care these can last as long or longer than many of the other cheaper earbuds out there.",You get what you pay for,https://www.walmart.com/ip/5-Pack-of-Earphone-Mic-for-Apple-iPhone-6-5S-5C-5-4S-SE-iPod-iPad-Earbud-Headset/118494616,Anonymous,earphone_Fosmon_118494616_Anonymous_187_960, , ,WM, 
 ,Fosmon,earphone,"SKU: A1526*5Pack 5 Pack of Fosmon White Earphone Mic for Apple iPhones, iPods, iPads5 Pack of High-Quality earphones for iPod, iPhone and all other MP3 players with built in microphone for hand free conversation. Also contains built in pause or play button.Key Specifications/Special Features:100% Brand New Fosmon Item.Built-in microphone for hands free conversations.High-Quality earphones for iPod, iPhone, iPad and all other MP3 players.Premium sound quality.Standard 3.5mm earphone plug fits all MP3 players with 3.5mm jack.Stylish design (non OEM) to fit your iPod, iPhone or other MP3players.Color: WhiteQty: 5Model Compatible:UniversalApple iPod Touch all generationApple iPhoneApple iPhone 3GApple iPhone 3GSApple iPhone 4S / 4Apple iPhone 5 5C 5S SEApple iPhone 6 6S 6 Plus 6S PlusApple iPad 1 / 2 / 3 / 4 / Air / ProApple iPad Mini 1 / 2 / 3Condition: Brand New",https://i5.walmartimages.com/asr/1fa63f57-5da6-4f05-9da5-364b567471d6_1.8e80caf83a361df451ad633b28aaaff9.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,118494616,3.5,5 Pack of Earphone Mic for Apple iPhone 6 5S 5C 5 4S SE iPod iPad Earbud Headset,https://www.walmart.com/ip/5-Pack-of-Earphone-Mic-for-Apple-iPhone-6-5S-5C-5-4S-SE-iPod-iPad-Earbud-Headset/118494616,earphone_Fosmon_118494616,$1.99,2016-12-08 00:00:00,3,"Overall I'm fine with the purchase. The cord is plenty long enough, which is better than Apple's short cord. The mic picks up my voice and little else. I don't know if it was intended to be a noise canceling mic, but it is behaving as one.

I will point out that the audio heard is a bit ""tinny."" If these will be used for MP3 players, keep that in mind.",Pretty good for the price,https://www.walmart.com/ip/5-Pack-of-Earphone-Mic-for-Apple-iPhone-6-5S-5C-5-4S-SE-iPod-iPad-Earbud-Headset/118494616,Compuelf,earphone_Fosmon_118494616_Compuelf_70_354, , ,WM, 
 ,Fosmon,earphone,"SKU: A1526*5Pack 5 Pack of Fosmon White Earphone Mic for Apple iPhones, iPods, iPads5 Pack of High-Quality earphones for iPod, iPhone and all other MP3 players with built in microphone for hand free conversation. Also contains built in pause or play button.Key Specifications/Special Features:100% Brand New Fosmon Item.Built-in microphone for hands free conversations.High-Quality earphones for iPod, iPhone, iPad and all other MP3 players.Premium sound quality.Standard 3.5mm earphone plug fits all MP3 players with 3.5mm jack.Stylish design (non OEM) to fit your iPod, iPhone or other MP3players.Color: WhiteQty: 5Model Compatible:UniversalApple iPod Touch all generationApple iPhoneApple iPhone 3GApple iPhone 3GSApple iPhone 4S / 4Apple iPhone 5 5C 5S SEApple iPhone 6 6S 6 Plus 6S PlusApple iPad 1 / 2 / 3 / 4 / Air / ProApple iPad Mini 1 / 2 / 3Condition: Brand New",https://i5.walmartimages.com/asr/1fa63f57-5da6-4f05-9da5-364b567471d6_1.8e80caf83a361df451ad633b28aaaff9.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,118494616,3.5,5 Pack of Earphone Mic for Apple iPhone 6 5S 5C 5 4S SE iPod iPad Earbud Headset,https://www.walmart.com/ip/5-Pack-of-Earphone-Mic-for-Apple-iPhone-6-5S-5C-5-4S-SE-iPod-iPad-Earbud-Headset/118494616,earphone_Fosmon_118494616,$1.99,2017-03-21 00:00:00,5,Decent quality for the price. I've used them for about a week and have no complaints.,Good for price,https://www.walmart.com/ip/5-Pack-of-Earphone-Mic-for-Apple-iPhone-6-5S-5C-5-4S-SE-iPod-iPad-Earbud-Headset/118494616,Katie,earphone_Fosmon_118494616_Katie_16_85, , ,WM, 
 ,Fosmon,earphone,"SKU: A1526*5Pack 5 Pack of Fosmon White Earphone Mic for Apple iPhones, iPods, iPads5 Pack of High-Quality earphones for iPod, iPhone and all other MP3 players with built in microphone for hand free conversation. Also contains built in pause or play button.Key Specifications/Special Features:100% Brand New Fosmon Item.Built-in microphone for hands free conversations.High-Quality earphones for iPod, iPhone, iPad and all other MP3 players.Premium sound quality.Standard 3.5mm earphone plug fits all MP3 players with 3.5mm jack.Stylish design (non OEM) to fit your iPod, iPhone or other MP3players.Color: WhiteQty: 5Model Compatible:UniversalApple iPod Touch all generationApple iPhoneApple iPhone 3GApple iPhone 3GSApple iPhone 4S / 4Apple iPhone 5 5C 5S SEApple iPhone 6 6S 6 Plus 6S PlusApple iPad 1 / 2 / 3 / 4 / Air / ProApple iPad Mini 1 / 2 / 3Condition: Brand New",https://i5.walmartimages.com/asr/1fa63f57-5da6-4f05-9da5-364b567471d6_1.8e80caf83a361df451ad633b28aaaff9.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,118494616,3.5,5 Pack of Earphone Mic for Apple iPhone 6 5S 5C 5 4S SE iPod iPad Earbud Headset,https://www.walmart.com/ip/5-Pack-of-Earphone-Mic-for-Apple-iPhone-6-5S-5C-5-4S-SE-iPod-iPad-Earbud-Headset/118494616,earphone_Fosmon_118494616,$1.99,2017-02-03 00:00:00,2,"Not good quality and definitely not Apple. They are mono not stereo, they are super cheap made and 2 out of the 5 pairs were broken in some way straight out of the pack. Save your money and buy the real thing. You couldn't pay me to use these or get them again. Oh and they are also a lot less comfortable than apple's",Headphones,https://www.walmart.com/ip/5-Pack-of-Earphone-Mic-for-Apple-iPhone-6-5S-5C-5-4S-SE-iPod-iPad-Earbud-Headset/118494616,ShayShady,earphone_Fosmon_118494616_ShayShady_64_318, , ,WM, 
 ,Fosmon,earphone,"SKU: A1526*5Pack 5 Pack of Fosmon White Earphone Mic for Apple iPhones, iPods, iPads5 Pack of High-Quality earphones for iPod, iPhone and all other MP3 players with built in microphone for hand free conversation. Also contains built in pause or play button.Key Specifications/Special Features:100% Brand New Fosmon Item.Built-in microphone for hands free conversations.High-Quality earphones for iPod, iPhone, iPad and all other MP3 players.Premium sound quality.Standard 3.5mm earphone plug fits all MP3 players with 3.5mm jack.Stylish design (non OEM) to fit your iPod, iPhone or other MP3players.Color: WhiteQty: 5Model Compatible:UniversalApple iPod Touch all generationApple iPhoneApple iPhone 3GApple iPhone 3GSApple iPhone 4S / 4Apple iPhone 5 5C 5S SEApple iPhone 6 6S 6 Plus 6S PlusApple iPad 1 / 2 / 3 / 4 / Air / ProApple iPad Mini 1 / 2 / 3Condition: Brand New",https://i5.walmartimages.com/asr/1fa63f57-5da6-4f05-9da5-364b567471d6_1.8e80caf83a361df451ad633b28aaaff9.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,118494616,3.5,5 Pack of Earphone Mic for Apple iPhone 6 5S 5C 5 4S SE iPod iPad Earbud Headset,https://www.walmart.com/ip/5-Pack-of-Earphone-Mic-for-Apple-iPhone-6-5S-5C-5-4S-SE-iPod-iPad-Earbud-Headset/118494616,earphone_Fosmon_118494616,$1.99,2017-01-21 00:00:00,5,Great price for a quality earphones.,Earphones,https://www.walmart.com/ip/5-Pack-of-Earphone-Mic-for-Apple-iPhone-6-5S-5C-5-4S-SE-iPod-iPad-Earbud-Headset/118494616,Frank,earphone_Fosmon_118494616_Frank_6_36, , ,WM, 
 ,Fosmon,earphone,"SKU: A1526*5Pack 5 Pack of Fosmon White Earphone Mic for Apple iPhones, iPods, iPads5 Pack of High-Quality earphones for iPod, iPhone and all other MP3 players with built in microphone for hand free conversation. Also contains built in pause or play button.Key Specifications/Special Features:100% Brand New Fosmon Item.Built-in microphone for hands free conversations.High-Quality earphones for iPod, iPhone, iPad and all other MP3 players.Premium sound quality.Standard 3.5mm earphone plug fits all MP3 players with 3.5mm jack.Stylish design (non OEM) to fit your iPod, iPhone or other MP3players.Color: WhiteQty: 5Model Compatible:UniversalApple iPod Touch all generationApple iPhoneApple iPhone 3GApple iPhone 3GSApple iPhone 4S / 4Apple iPhone 5 5C 5S SEApple iPhone 6 6S 6 Plus 6S PlusApple iPad 1 / 2 / 3 / 4 / Air / ProApple iPad Mini 1 / 2 / 3Condition: Brand New",https://i5.walmartimages.com/asr/1fa63f57-5da6-4f05-9da5-364b567471d6_1.8e80caf83a361df451ad633b28aaaff9.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,118494616,3.5,5 Pack of Earphone Mic for Apple iPhone 6 5S 5C 5 4S SE iPod iPad Earbud Headset,https://www.walmart.com/ip/5-Pack-of-Earphone-Mic-for-Apple-iPhone-6-5S-5C-5-4S-SE-iPod-iPad-Earbud-Headset/118494616,earphone_Fosmon_118494616,$1.99,2017-01-21 00:00:00,5,It's good quality,It's good  quality,https://www.walmart.com/ip/5-Pack-of-Earphone-Mic-for-Apple-iPhone-6-5S-5C-5-4S-SE-iPod-iPad-Earbud-Headset/118494616,Nick,earphone_Fosmon_118494616_Nick_3_17, , ,WM, 
 ,Fosmon,earphone,"SKU: A1526*5Pack 5 Pack of Fosmon White Earphone Mic for Apple iPhones, iPods, iPads5 Pack of High-Quality earphones for iPod, iPhone and all other MP3 players with built in microphone for hand free conversation. Also contains built in pause or play button.Key Specifications/Special Features:100% Brand New Fosmon Item.Built-in microphone for hands free conversations.High-Quality earphones for iPod, iPhone, iPad and all other MP3 players.Premium sound quality.Standard 3.5mm earphone plug fits all MP3 players with 3.5mm jack.Stylish design (non OEM) to fit your iPod, iPhone or other MP3players.Color: WhiteQty: 5Model Compatible:UniversalApple iPod Touch all generationApple iPhoneApple iPhone 3GApple iPhone 3GSApple iPhone 4S / 4Apple iPhone 5 5C 5S SEApple iPhone 6 6S 6 Plus 6S PlusApple iPad 1 / 2 / 3 / 4 / Air / ProApple iPad Mini 1 / 2 / 3Condition: Brand New",https://i5.walmartimages.com/asr/1fa63f57-5da6-4f05-9da5-364b567471d6_1.8e80caf83a361df451ad633b28aaaff9.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,118494616,3.5,5 Pack of Earphone Mic for Apple iPhone 6 5S 5C 5 4S SE iPod iPad Earbud Headset,https://www.walmart.com/ip/5-Pack-of-Earphone-Mic-for-Apple-iPhone-6-5S-5C-5-4S-SE-iPod-iPad-Earbud-Headset/118494616,earphone_Fosmon_118494616,$1.99,2017-01-12 00:00:00,1,Not what I expected.  Not comfortable to wear.,Was not what I expected.,https://www.walmart.com/ip/5-Pack-of-Earphone-Mic-for-Apple-iPhone-6-5S-5C-5-4S-SE-iPod-iPad-Earbud-Headset/118494616,UnhappyCamper,earphone_Fosmon_118494616_UnhappyCamper_9_46, , ,WM, 
 ,Fosmon,earphone,"SKU: A1526*5Pack 5 Pack of Fosmon White Earphone Mic for Apple iPhones, iPods, iPads5 Pack of High-Quality earphones for iPod, iPhone and all other MP3 players with built in microphone for hand free conversation. Also contains built in pause or play button.Key Specifications/Special Features:100% Brand New Fosmon Item.Built-in microphone for hands free conversations.High-Quality earphones for iPod, iPhone, iPad and all other MP3 players.Premium sound quality.Standard 3.5mm earphone plug fits all MP3 players with 3.5mm jack.Stylish design (non OEM) to fit your iPod, iPhone or other MP3players.Color: WhiteQty: 5Model Compatible:UniversalApple iPod Touch all generationApple iPhoneApple iPhone 3GApple iPhone 3GSApple iPhone 4S / 4Apple iPhone 5 5C 5S SEApple iPhone 6 6S 6 Plus 6S PlusApple iPad 1 / 2 / 3 / 4 / Air / ProApple iPad Mini 1 / 2 / 3Condition: Brand New",https://i5.walmartimages.com/asr/1fa63f57-5da6-4f05-9da5-364b567471d6_1.8e80caf83a361df451ad633b28aaaff9.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,118494616,3.5,5 Pack of Earphone Mic for Apple iPhone 6 5S 5C 5 4S SE iPod iPad Earbud Headset,https://www.walmart.com/ip/5-Pack-of-Earphone-Mic-for-Apple-iPhone-6-5S-5C-5-4S-SE-iPod-iPad-Earbud-Headset/118494616,earphone_Fosmon_118494616,$1.99,2017-01-08 00:00:00,1,"sound is good , but not good ears support .",Earphone Mic for Apple iPhone,https://www.walmart.com/ip/5-Pack-of-Earphone-Mic-for-Apple-iPhone-6-5S-5C-5-4S-SE-iPod-iPad-Earbud-Headset/118494616,touchcomp,earphone_Fosmon_118494616_touchcomp_10_43, , ,WM, 
 ,Fosmon,earphone,"SKU: A1526*5Pack 5 Pack of Fosmon White Earphone Mic for Apple iPhones, iPods, iPads5 Pack of High-Quality earphones for iPod, iPhone and all other MP3 players with built in microphone for hand free conversation. Also contains built in pause or play button.Key Specifications/Special Features:100% Brand New Fosmon Item.Built-in microphone for hands free conversations.High-Quality earphones for iPod, iPhone, iPad and all other MP3 players.Premium sound quality.Standard 3.5mm earphone plug fits all MP3 players with 3.5mm jack.Stylish design (non OEM) to fit your iPod, iPhone or other MP3players.Color: WhiteQty: 5Model Compatible:UniversalApple iPod Touch all generationApple iPhoneApple iPhone 3GApple iPhone 3GSApple iPhone 4S / 4Apple iPhone 5 5C 5S SEApple iPhone 6 6S 6 Plus 6S PlusApple iPad 1 / 2 / 3 / 4 / Air / ProApple iPad Mini 1 / 2 / 3Condition: Brand New",https://i5.walmartimages.com/asr/1fa63f57-5da6-4f05-9da5-364b567471d6_1.8e80caf83a361df451ad633b28aaaff9.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,118494616,3.5,5 Pack of Earphone Mic for Apple iPhone 6 5S 5C 5 4S SE iPod iPad Earbud Headset,https://www.walmart.com/ip/5-Pack-of-Earphone-Mic-for-Apple-iPhone-6-5S-5C-5-4S-SE-iPod-iPad-Earbud-Headset/118494616,earphone_Fosmon_118494616,$1.99,2016-12-14 00:00:00,5,so far they work really well,love them!!!,https://www.walmart.com/ip/5-Pack-of-Earphone-Mic-for-Apple-iPhone-6-5S-5C-5-4S-SE-iPod-iPad-Earbud-Headset/118494616,fluffybug15,earphone_Fosmon_118494616_fluffybug15_6_28, , ,WM, 
 ,iLuv,earphone,"Listen to your favorite tunes or call your friends on your Apple or Android smartphones or tablets with these colorful iLuv BubbleGumTalk Earphones with Microphone Control. The handy in-line microphone with a remote control enables music pause, play and skip forward actions on both device types as well as a skip back function on Apple iPhones, iPads or iPods only. Use the remote to quickly and easily answer calls without taking your phone out of your pocket. These quality iLuv earphones feature a gold-plated 3.5mm stereo jack for superior conductivity and rust-resistance. They come in an assortment of bright colors to suit your personal style. iLuv BubbleGumTalk Earphones with Microphone Control: 
Microphone with remote for use with smartphone and music control
Compatible with Apple and Android devices
Earphones with remote built-in for controlling music: pause, play, skip forward, skip back functions (skip back function on Apple devices only)
Gold-plated 3.5mm stereo jack",https://i5.walmartimages.com/asr/fbb3de03-50eb-43b2-b239-b286ecd5f442_1.ffff58c57e1df53e7b63b3a28fa78637.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,37253609,4,iLuv BubbleGumTalk Earphones with Microphone Control,https://www.walmart.com/ip/iLuv-BubbleGumTalk-Earphones-with-Microphone-Control/37253609,earphone_iLuv_37253609,$7.99,2014-11-07 00:00:00,5,As an avid collector and then destroyer/loser of cheap earbuds I can say these are great for the price. Decent sound and above average bass for the price. You can also control music and make phone calls with these so that's a plus.,Just Buy Them,https://www.walmart.com/ip/iLuv-BubbleGumTalk-Earphones-with-Microphone-Control/37253609,TexasJosh,earphone_iLuv_37253609_TexasJosh_43_231, , ,WM, 
