driver,pBrand,pCategory,pDescr,pImgSrc,pModel,pRating,pTitle,pURL,pid,price,rDate,rRating,rText,rTitle,rURL,rUser,rid,sentiScore,sentiment,siteCode,trigger
 ,Tiny Love,mobile,"Color:Animal Friends - Blue
Keep baby calm and content, with this mesmerizing mobile. Adorable, colorful animal friends, with black and white geometric designs. 30 minutes of continuous minutes. Fits most pack and play, travel cribs, strollers, infants seats and bassinetts. Mobile arm seperates for easy carry in any diaper bag.",https://images-na.ssl-images-amazon.com/images/I/617fNhXNlzL._SY355_.jpg,B00F1CPBQ0,4.4,"Tiny Love Take Along Mobile, Animal Friends, Blue",https://www.amazon.com/Tiny-Love-Mobile-Animal-Friends/dp/B00F1CPBQ0/ref=sr_1_3_a_it?ie=UTF8&qid=1498730060&sr=8-3&keywords=mobile,mobile_Tiny Love_B00F1CPBQ0,$19.87,2017-06-28 00:00:00,3.0,Music isn't very loud and it moves pretty slow but no big deal! Baby doesnt pay much attention to it but it works.,Music isn't very loud and it moves pretty slow but no big deal,https://www.amazon.com/Tiny-Love-Mobile-Animal-Friends/product-reviews/B00F1CPBQ0/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer,mobile_Tiny Love_B00F1CPBQ0_Amazon Customer_23_114, , ,AM, 
 ,Tiny Love,mobile,"Color:Animal Friends - Blue
Keep baby calm and content, with this mesmerizing mobile. Adorable, colorful animal friends, with black and white geometric designs. 30 minutes of continuous minutes. Fits most pack and play, travel cribs, strollers, infants seats and bassinetts. Mobile arm seperates for easy carry in any diaper bag.",https://images-na.ssl-images-amazon.com/images/I/617fNhXNlzL._SY355_.jpg,B00F1CPBQ0,4.4,"Tiny Love Take Along Mobile, Animal Friends, Blue",https://www.amazon.com/Tiny-Love-Mobile-Animal-Friends/dp/B00F1CPBQ0/ref=sr_1_3_a_it?ie=UTF8&qid=1498730060&sr=8-3&keywords=mobile,mobile_Tiny Love_B00F1CPBQ0,$19.87,2017-06-28 00:00:00,5.0,My newborn loves this. As long as she's changed and fed this entertains her and then soothes her to sleep.,Soothes my newborn to sleep,https://www.amazon.com/Tiny-Love-Mobile-Animal-Friends/product-reviews/B00F1CPBQ0/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,K. Thomas,mobile_Tiny Love_B00F1CPBQ0_K. Thomas_20_106, , ,AM, 
 ,Tiny Love,mobile,"Color:Animal Friends - Blue
Keep baby calm and content, with this mesmerizing mobile. Adorable, colorful animal friends, with black and white geometric designs. 30 minutes of continuous minutes. Fits most pack and play, travel cribs, strollers, infants seats and bassinetts. Mobile arm seperates for easy carry in any diaper bag.",https://images-na.ssl-images-amazon.com/images/I/617fNhXNlzL._SY355_.jpg,B00F1CPBQ0,4.4,"Tiny Love Take Along Mobile, Animal Friends, Blue",https://www.amazon.com/Tiny-Love-Mobile-Animal-Friends/dp/B00F1CPBQ0/ref=sr_1_3_a_it?ie=UTF8&qid=1498730060&sr=8-3&keywords=mobile,mobile_Tiny Love_B00F1CPBQ0,$19.87,2017-06-28 00:00:00,5.0,Baby Girls Loved it! I like how you can move from one place to another and set it up pretty much everywhere,Recommend,https://www.amazon.com/Tiny-Love-Mobile-Animal-Friends/product-reviews/B00F1CPBQ0/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer,mobile_Tiny Love_B00F1CPBQ0_Amazon Customer_22_107, , ,AM, 
 ,Tiny Love,mobile,"Color:Animal Friends - Blue
Keep baby calm and content, with this mesmerizing mobile. Adorable, colorful animal friends, with black and white geometric designs. 30 minutes of continuous minutes. Fits most pack and play, travel cribs, strollers, infants seats and bassinetts. Mobile arm seperates for easy carry in any diaper bag.",https://images-na.ssl-images-amazon.com/images/I/617fNhXNlzL._SY355_.jpg,B00F1CPBQ0,4.4,"Tiny Love Take Along Mobile, Animal Friends, Blue",https://www.amazon.com/Tiny-Love-Mobile-Animal-Friends/dp/B00F1CPBQ0/ref=sr_1_3_a_it?ie=UTF8&qid=1498730060&sr=8-3&keywords=mobile,mobile_Tiny Love_B00F1CPBQ0,$19.87,2017-06-28 00:00:00,5.0,"BEST MOBILE EVER. It turns off after about a 1/2 hour, but my baby is almost always sleeping by then. I like the turn off option so it doesn't run the whole night.",BEST MOBILE EVER,https://www.amazon.com/Tiny-Love-Mobile-Animal-Friends/product-reviews/B00F1CPBQ0/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer,mobile_Tiny Love_B00F1CPBQ0_Amazon Customer_33_163, , ,AM, 
 ,Tiny Love,mobile,"Color:Animal Friends - Blue
Keep baby calm and content, with this mesmerizing mobile. Adorable, colorful animal friends, with black and white geometric designs. 30 minutes of continuous minutes. Fits most pack and play, travel cribs, strollers, infants seats and bassinetts. Mobile arm seperates for easy carry in any diaper bag.",https://images-na.ssl-images-amazon.com/images/I/617fNhXNlzL._SY355_.jpg,B00F1CPBQ0,4.4,"Tiny Love Take Along Mobile, Animal Friends, Blue",https://www.amazon.com/Tiny-Love-Mobile-Animal-Friends/dp/B00F1CPBQ0/ref=sr_1_3_a_it?ie=UTF8&qid=1498730060&sr=8-3&keywords=mobile,mobile_Tiny Love_B00F1CPBQ0,$19.87,2017-06-27 00:00:00,4.0,"The mobile itself is perfection - music selection is wonderful, mobile characters are bright and cheerful, and love the hanging options (clip, Velcro strap or arm). However, I deducted one star for the arm. The arch width is too short to hang from the crib for baby to lie beneath it. Baby has to be pretty much up against the crib rails. Also, the fastening mechanism on the arm does not grip tightly enough on fabric covered tubes (I.e. Play yard arms or rock n sleeper). I had read positive and negative reviews about that and after trying it, agree that is a problem. I can get it to grip tightly but the weight of the mobile gradually pulls the arm over, either on floor or (gasp!) baby.

Otherwise, love the mobile! Works well on car seat, stroller and play yard (Velcro strap on play yard's own mobile arch).",Almost perfect,https://www.amazon.com/Tiny-Love-Mobile-Animal-Friends/product-reviews/B00F1CPBQ0/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,LGGA,mobile_Tiny Love_B00F1CPBQ0_LGGA_148_815, , ,AM, 
 ,Tiny Love,mobile,"Color:Animal Friends - Blue
Keep baby calm and content, with this mesmerizing mobile. Adorable, colorful animal friends, with black and white geometric designs. 30 minutes of continuous minutes. Fits most pack and play, travel cribs, strollers, infants seats and bassinetts. Mobile arm seperates for easy carry in any diaper bag.",https://images-na.ssl-images-amazon.com/images/I/617fNhXNlzL._SY355_.jpg,B00F1CPBQ0,4.4,"Tiny Love Take Along Mobile, Animal Friends, Blue",https://www.amazon.com/Tiny-Love-Mobile-Animal-Friends/dp/B00F1CPBQ0/ref=sr_1_3_a_it?ie=UTF8&qid=1498730060&sr=8-3&keywords=mobile,mobile_Tiny Love_B00F1CPBQ0,$19.87,2017-06-26 00:00:00,5.0,Our grandson loves it...he's four months.,Five Stars,https://www.amazon.com/Tiny-Love-Mobile-Animal-Friends/product-reviews/B00F1CPBQ0/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Shablinska,mobile_Tiny Love_B00F1CPBQ0_Shablinska_6_41, , ,AM, 
 ,Tiny Love,mobile,"Color:Animal Friends - Blue
Keep baby calm and content, with this mesmerizing mobile. Adorable, colorful animal friends, with black and white geometric designs. 30 minutes of continuous minutes. Fits most pack and play, travel cribs, strollers, infants seats and bassinetts. Mobile arm seperates for easy carry in any diaper bag.",https://images-na.ssl-images-amazon.com/images/I/617fNhXNlzL._SY355_.jpg,B00F1CPBQ0,4.4,"Tiny Love Take Along Mobile, Animal Friends, Blue",https://www.amazon.com/Tiny-Love-Mobile-Animal-Friends/dp/B00F1CPBQ0/ref=sr_1_3_a_it?ie=UTF8&qid=1498730060&sr=8-3&keywords=mobile,mobile_Tiny Love_B00F1CPBQ0,$19.87,2017-06-26 00:00:00,3.0,"Purchased this mobile because I like the idea you can put it on different baby gear, unfortunately it didn't fit my baby's crib. The good think it fits my baby's bassinet and car seat.",Sad that didn't fit my baby's crib,https://www.amazon.com/Tiny-Love-Mobile-Animal-Friends/product-reviews/B00F1CPBQ0/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Patty C.,mobile_Tiny Love_B00F1CPBQ0_Patty C._34_184, , ,AM, 
 ,Tiny Love,mobile,"Color:Animal Friends - Blue
Keep baby calm and content, with this mesmerizing mobile. Adorable, colorful animal friends, with black and white geometric designs. 30 minutes of continuous minutes. Fits most pack and play, travel cribs, strollers, infants seats and bassinetts. Mobile arm seperates for easy carry in any diaper bag.",https://images-na.ssl-images-amazon.com/images/I/617fNhXNlzL._SY355_.jpg,B00F1CPBQ0,4.4,"Tiny Love Take Along Mobile, Animal Friends, Blue",https://www.amazon.com/Tiny-Love-Mobile-Animal-Friends/dp/B00F1CPBQ0/ref=sr_1_3_a_it?ie=UTF8&qid=1498730060&sr=8-3&keywords=mobile,mobile_Tiny Love_B00F1CPBQ0,$19.87,2017-06-26 00:00:00,3.0,okay,Three Stars,https://www.amazon.com/Tiny-Love-Mobile-Animal-Friends/product-reviews/B00F1CPBQ0/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Mae Abad,mobile_Tiny Love_B00F1CPBQ0_Mae Abad_1_4, , ,AM, 
 ,Tiny Love,mobile,"Color:Animal Friends - Blue
Keep baby calm and content, with this mesmerizing mobile. Adorable, colorful animal friends, with black and white geometric designs. 30 minutes of continuous minutes. Fits most pack and play, travel cribs, strollers, infants seats and bassinetts. Mobile arm seperates for easy carry in any diaper bag.",https://images-na.ssl-images-amazon.com/images/I/617fNhXNlzL._SY355_.jpg,B00F1CPBQ0,4.4,"Tiny Love Take Along Mobile, Animal Friends, Blue",https://www.amazon.com/Tiny-Love-Mobile-Animal-Friends/dp/B00F1CPBQ0/ref=sr_1_3_a_it?ie=UTF8&qid=1498730060&sr=8-3&keywords=mobile,mobile_Tiny Love_B00F1CPBQ0,$19.87,2017-06-24 00:00:00,5.0,"This is the perfect mobile! It fits very well on the pack and play. It would fit any crib, bassinet and baby gear.",Perfect,https://www.amazon.com/Tiny-Love-Mobile-Animal-Friends/product-reviews/B00F1CPBQ0/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Lisa Burton,mobile_Tiny Love_B00F1CPBQ0_Lisa Burton_23_114, , ,AM, 
 ,Tiny Love,mobile,"Color:Animal Friends - Blue
Keep baby calm and content, with this mesmerizing mobile. Adorable, colorful animal friends, with black and white geometric designs. 30 minutes of continuous minutes. Fits most pack and play, travel cribs, strollers, infants seats and bassinetts. Mobile arm seperates for easy carry in any diaper bag.",https://images-na.ssl-images-amazon.com/images/I/617fNhXNlzL._SY355_.jpg,B00F1CPBQ0,4.4,"Tiny Love Take Along Mobile, Animal Friends, Blue",https://www.amazon.com/Tiny-Love-Mobile-Animal-Friends/dp/B00F1CPBQ0/ref=sr_1_3_a_it?ie=UTF8&qid=1498730060&sr=8-3&keywords=mobile,mobile_Tiny Love_B00F1CPBQ0,$19.87,2017-06-24 00:00:00,3.0,Wasn't able to attach to crib. Don't stay to well on playpen.,Three Stars,https://www.amazon.com/Tiny-Love-Mobile-Animal-Friends/product-reviews/B00F1CPBQ0/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Mama Bear 63,mobile_Tiny Love_B00F1CPBQ0_Mama Bear 63_12_61, , ,AM, 
