driver,pBrand,pCategory,pDescr,pImgSrc,pModel,pRating,pTitle,pURL,pid,price,rDate,rRating,rText,rTitle,rURL,rUser,rid,sentiScore,sentiment,siteCode,trigger
 ,AT&T,phone,Not Available,https://images.homedepot-static.com/productImages/eaabfb2c-ca04-4c1c-8f12-e0d12cdb2af8/svn/at-t-telephones-2909-64_1000.jpg,204087253,5.0,"Corded Telephone with Caller ID, Call Waiting and Speakerphone",https://www.homedepot.com/p/AT-T-Corded-Telephone-with-Caller-ID-Call-Waiting-and-Speakerphone-2909/204087253,phone_AT&T_204087253,$2026,2018-01-23 00:00:00,5.0,"Does the job. Only wish is that it had a lighted screen, but knew that.","Does the job. Only wish is that it had a lighted screen, but knew that.",https://www.homedepot.com/p/AT-T-Corded-Telephone-with-Caller-ID-Call-Waiting-and-Speakerphone-2909/204087253,SD,phone_AT&T_204087253_SD_15_71, , ,HD, 
 ,AT&T,phone,Not Available,https://images.homedepot-static.com/productImages/eaabfb2c-ca04-4c1c-8f12-e0d12cdb2af8/svn/at-t-telephones-2909-64_1000.jpg,204087253,5.0,"Corded Telephone with Caller ID, Call Waiting and Speakerphone",https://www.homedepot.com/p/AT-T-Corded-Telephone-with-Caller-ID-Call-Waiting-and-Speakerphone-2909/204087253,phone_AT&T_204087253,$2026,2018-01-02 00:00:00,5.0,He was very happy with his phone,He was very happy with his phone...,https://www.homedepot.com/p/AT-T-Corded-Telephone-with-Caller-ID-Call-Waiting-and-Speakerphone-2909/204087253,Dorothy,phone_AT&T_204087253_Dorothy_7_32, , ,HD, 
 ,AT&T,phone,Not Available,https://images.homedepot-static.com/productImages/eaabfb2c-ca04-4c1c-8f12-e0d12cdb2af8/svn/at-t-telephones-2909-64_1000.jpg,204087253,5.0,"Corded Telephone with Caller ID, Call Waiting and Speakerphone",https://www.homedepot.com/p/AT-T-Corded-Telephone-with-Caller-ID-Call-Waiting-and-Speakerphone-2909/204087253,phone_AT&T_204087253,$2026,2017-12-11 00:00:00,4.0,Great phone. Exactly what i ask for. I should have got one with ans device attached! I am spoiled by i-phone,Great phone. Exactly what i ask for. I...,https://www.homedepot.com/p/AT-T-Corded-Telephone-with-Caller-ID-Call-Waiting-and-Speakerphone-2909/204087253,HomeDepotCustomer,phone_AT&T_204087253_HomeDepotCustomer_21_108, , ,HD, 
 ,AT&T,phone,Not Available,https://images.homedepot-static.com/productImages/eaabfb2c-ca04-4c1c-8f12-e0d12cdb2af8/svn/at-t-telephones-2909-64_1000.jpg,204087253,5.0,"Corded Telephone with Caller ID, Call Waiting and Speakerphone",https://www.homedepot.com/p/AT-T-Corded-Telephone-with-Caller-ID-Call-Waiting-and-Speakerphone-2909/204087253,phone_AT&T_204087253,$2026,2017-09-20 00:00:00,4.0,Rating provided by a verified purchaser,4 Star Review,https://www.homedepot.com/p/AT-T-Corded-Telephone-with-Caller-ID-Call-Waiting-and-Speakerphone-2909/204087253,Paul,phone_AT&T_204087253_Paul_6_39, , ,HD, 
 ,AT&T,phone,Not Available,https://images.homedepot-static.com/productImages/eaabfb2c-ca04-4c1c-8f12-e0d12cdb2af8/svn/at-t-telephones-2909-64_1000.jpg,204087253,5.0,"Corded Telephone with Caller ID, Call Waiting and Speakerphone",https://www.homedepot.com/p/AT-T-Corded-Telephone-with-Caller-ID-Call-Waiting-and-Speakerphone-2909/204087253,phone_AT&T_204087253,$2026,2015-04-21 00:00:00,1.0,"I am disabled and use speaker phones exclusively. I could hear everyone else just fine, they could not hear me without being a few inches from the phone yelling loudly.. Thanks Home Depot for a painless return policy.",Terrible phone,https://www.homedepot.com/p/AT-T-Corded-Telephone-with-Caller-ID-Call-Waiting-and-Speakerphone-2909/204087253,Flint,phone_AT&T_204087253_Flint_38_217, , ,HD, 
 ,AT&T,phone,Not Available,https://images.homedepot-static.com/productImages/eaabfb2c-ca04-4c1c-8f12-e0d12cdb2af8/svn/at-t-telephones-2909-64_1000.jpg,204087253,5.0,"Corded Telephone with Caller ID, Call Waiting and Speakerphone",https://www.homedepot.com/p/AT-T-Corded-Telephone-with-Caller-ID-Call-Waiting-and-Speakerphone-2909/204087253,phone_AT&T_204087253,$2026,2014-01-14 00:00:00,4.0,"Traditional phone, with big buttons and a speakerphone, if you want to clean and talk on the phone @ the same time. It has storage for storing phone numbers. The sound is pretty clear. The red light flashes when phone is in use or if you have a new caller. Cannot beat the price. It requires 4 double AA batteries.",Great Product,https://www.homedepot.com/p/AT-T-Corded-Telephone-with-Caller-ID-Call-Waiting-and-Speakerphone-2909/204087253,griffin,phone_AT&T_204087253_griffin_60_314, , ,HD, 
 ,AT&T,phone,Not Available,https://images.homedepot-static.com/productImages/eaabfb2c-ca04-4c1c-8f12-e0d12cdb2af8/svn/at-t-telephones-2909-64_1000.jpg,204087253,5.0,"Corded Telephone with Caller ID, Call Waiting and Speakerphone",https://www.homedepot.com/p/AT-T-Corded-Telephone-with-Caller-ID-Call-Waiting-and-Speakerphone-2909/204087253,phone_AT&T_204087253,$2026,2017-09-05 00:00:00,5.0,This phone works as good as the phone it replaced,This phone works as good as the phone it replaced,https://www.homedepot.com/p/AT-T-Corded-Telephone-with-Caller-ID-Call-Waiting-and-Speakerphone-2909/204087253,Jon,phone_AT&T_204087253_Jon_10_49, , ,HD, 
 ,AT&T,phone,Not Available,https://images.homedepot-static.com/productImages/eaabfb2c-ca04-4c1c-8f12-e0d12cdb2af8/svn/at-t-telephones-2909-64_1000.jpg,204087253,5.0,"Corded Telephone with Caller ID, Call Waiting and Speakerphone",https://www.homedepot.com/p/AT-T-Corded-Telephone-with-Caller-ID-Call-Waiting-and-Speakerphone-2909/204087253,phone_AT&T_204087253,$2026,2017-08-08 00:00:00,4.0,"If you need a simple wall mountable, no frill phone , this is one of the very few available in the market. You might have problem finding one at the store. I had to order online for pickup at the store. Everything is plain vanilla. Easy setup.Clarity is good. Caller ID's visibility is not that great. Nevertheless, it serves my purpose.","If you need a simple wall mountable, no frill phone , this is one of the very few available in th...",https://www.homedepot.com/p/AT-T-Corded-Telephone-with-Caller-ID-Call-Waiting-and-Speakerphone-2909/204087253,pactogie,phone_AT&T_204087253_pactogie_61_337, , ,HD, 
 ,AT&T,phone,Not Available,https://images.homedepot-static.com/productImages/c375ddb5-e23d-4710-a059-5565fdc49bc3/svn/at-t-telephones-tl-210-bk-64_1000.jpg,204087235,4.0,Trimline Telephone With Memory - Black,https://www.homedepot.com/p/AT-T-Trimline-Telephone-With-Memory-Black-TL-210-BK/204087235,phone_AT&T_204087235,$920,2018-01-23 00:00:00,4.0,Rating provided by a verified purchaser,4 Star Review,https://www.homedepot.com/p/AT-T-Trimline-Telephone-With-Memory-Black-TL-210-BK/204087235,HomeDepotCustomer,phone_AT&T_204087235_HomeDepotCustomer_6_39, , ,HD, 
 ,AT&T,phone,Not Available,https://images.homedepot-static.com/productImages/c375ddb5-e23d-4710-a059-5565fdc49bc3/svn/at-t-telephones-tl-210-bk-64_1000.jpg,204087235,4.0,Trimline Telephone With Memory - Black,https://www.homedepot.com/p/AT-T-Trimline-Telephone-With-Memory-Black-TL-210-BK/204087235,phone_AT&T_204087235,$920,2018-01-16 00:00:00,2.0,I was looking for something very simple but modern; the telephone was disappointing with its outdated design and shiny black plastic.,I was looking for something very simple but modern; the...,https://www.homedepot.com/p/AT-T-Trimline-Telephone-With-Memory-Black-TL-210-BK/204087235,Izabela,phone_AT&T_204087235_Izabela_21_133, , ,HD, 
