driver,pBrand,pCategory,pDescr,pImgSrc,pModel,pRating,pTitle,pURL,pid,price,rDate,rRating,rText,rTitle,rURL,rUser,rid,sentiScore,sentiment,siteCode,trigger
 ,#N/A,water filter,"Style Name:Improved Packaging
PUR 18 Cup Displenser w/ One Filter",https://images-na.ssl-images-amazon.com/images/I/61PORpfjl3L._SX355_.jpg,B00IK5A4U8,4.2,PUR 18 Cup Water Filtration Dispenser w/ 1 Filter,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/dp/B00IK5A4U8/ref=sr_1_3?ie=UTF8&qid=1498726227&sr=8-3&keywords=water+filter,water filter_#N/A_B00IK5A4U8,$24.98,2017-06-29 00:00:00,5.0,As advertised,Five Stars,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/product-reviews/B00IK5A4U8/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Ed Nawar,water filter_#N/A_B00IK5A4U8_Ed Nawar_2_13, , ,AM, 
 ,#N/A,water filter,"Style Name:Improved Packaging
PUR 18 Cup Displenser w/ One Filter",https://images-na.ssl-images-amazon.com/images/I/61PORpfjl3L._SX355_.jpg,B00IK5A4U8,4.2,PUR 18 Cup Water Filtration Dispenser w/ 1 Filter,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/dp/B00IK5A4U8/ref=sr_1_3?ie=UTF8&qid=1498726227&sr=8-3&keywords=water+filter,water filter_#N/A_B00IK5A4U8,$24.98,2017-06-28 00:00:00,4.0,"nice product, works very well",clean water,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/product-reviews/B00IK5A4U8/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,roytbads,water filter_#N/A_B00IK5A4U8_roytbads_5_29, , ,AM, 
 ,#N/A,water filter,"Style Name:Improved Packaging
PUR 18 Cup Displenser w/ One Filter",https://images-na.ssl-images-amazon.com/images/I/61PORpfjl3L._SX355_.jpg,B00IK5A4U8,4.2,PUR 18 Cup Water Filtration Dispenser w/ 1 Filter,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/dp/B00IK5A4U8/ref=sr_1_3?ie=UTF8&qid=1498726227&sr=8-3&keywords=water+filter,water filter_#N/A_B00IK5A4U8,$24.98,2017-06-28 00:00:00,5.0,"This is my first ever water purifier. Never needed one before because water usually tastes just fine to me out of the tap (most of the time). Unfortunately I moved into a place that does not have filtered water and it tastes absolutely horrific so I considered all my options and thought a water purifier would be the way to go. I didn't want to spend a lot and I couldn't have it take too much space in the fridge either. I also needed more that just a typical pitcher size. I ordered this lovely 18cup Pur as well as 3 filters to replace when needed. Followed the directions on the filter and in no time had some cool, delicious water to drink. It says you should change the filter every 40 gallons or about every 2 months but you might want to rethink that and gauge how much your family uses. Why? Well, because I found all these tiny black particles left over on the top part of the dispenser (that got filtered out of my drinking water on the bottom). It made me wonder what else is in my water. I also noticed that things started tasting a bit funny or weird like my coffee. We use the filtered water for everything to do with cooking/drinking because our tap is absolutely terrible. So, it only took me about 4 days to figure we use on average 3.75 quarts/day (family of 2) so technically for us it means we'd use 40 gallons in about 43 days. Everyone is different, maybe you don't drink as much or use it for cooking/coffee machine or alternate between bottled waters and it may last you longer but I feel the filters are inexpensive enough to be changed when needed. Love this! Easy to clean, slim design, no issues.","Awesome dispenser, nice slim size.",https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/product-reviews/B00IK5A4U8/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,BH,water filter_#N/A_B00IK5A4U8_BH_305_1626, , ,AM, 
 ,#N/A,water filter,"Style Name:Improved Packaging
PUR 18 Cup Displenser w/ One Filter",https://images-na.ssl-images-amazon.com/images/I/61PORpfjl3L._SX355_.jpg,B00IK5A4U8,4.2,PUR 18 Cup Water Filtration Dispenser w/ 1 Filter,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/dp/B00IK5A4U8/ref=sr_1_3?ie=UTF8&qid=1498726227&sr=8-3&keywords=water+filter,water filter_#N/A_B00IK5A4U8,$24.98,2017-06-28 00:00:00,2.0,I am quite unhappy with the product. Water stagnates on the top compartment quite frequently. I need to keep pouring it off and refilling!,Water stagnates!,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/product-reviews/B00IK5A4U8/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,santhosh,water filter_#N/A_B00IK5A4U8_santhosh_24_138, , ,AM, 
 ,#N/A,water filter,"Style Name:Improved Packaging
PUR 18 Cup Displenser w/ One Filter",https://images-na.ssl-images-amazon.com/images/I/61PORpfjl3L._SX355_.jpg,B00IK5A4U8,4.2,PUR 18 Cup Water Filtration Dispenser w/ 1 Filter,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/dp/B00IK5A4U8/ref=sr_1_3?ie=UTF8&qid=1498726227&sr=8-3&keywords=water+filter,water filter_#N/A_B00IK5A4U8,$24.98,2017-06-28 00:00:00,5.0,"Love, love this",Five Stars,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/product-reviews/B00IK5A4U8/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Maryse Charbonneau,water filter_#N/A_B00IK5A4U8_Maryse Charbonneau_3_15, , ,AM, 
 ,#N/A,water filter,"Style Name:Improved Packaging
PUR 18 Cup Displenser w/ One Filter",https://images-na.ssl-images-amazon.com/images/I/61PORpfjl3L._SX355_.jpg,B00IK5A4U8,4.2,PUR 18 Cup Water Filtration Dispenser w/ 1 Filter,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/dp/B00IK5A4U8/ref=sr_1_3?ie=UTF8&qid=1498726227&sr=8-3&keywords=water+filter,water filter_#N/A_B00IK5A4U8,$24.98,2017-06-28 00:00:00,4.0,Does what it says. Cheap plastic will always be plastic. Looking for glass.,Yay plastic,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/product-reviews/B00IK5A4U8/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer,water filter_#N/A_B00IK5A4U8_Amazon Customer_13_75, , ,AM, 
 ,#N/A,water filter,"Style Name:Improved Packaging
PUR 18 Cup Displenser w/ One Filter",https://images-na.ssl-images-amazon.com/images/I/61PORpfjl3L._SX355_.jpg,B00IK5A4U8,4.2,PUR 18 Cup Water Filtration Dispenser w/ 1 Filter,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/dp/B00IK5A4U8/ref=sr_1_3?ie=UTF8&qid=1498726227&sr=8-3&keywords=water+filter,water filter_#N/A_B00IK5A4U8,$24.98,2017-06-27 00:00:00,5.0,The water tastes great. My guests dont believe me when I say they are drinking filtered tap water. I have saved so much money from not buying bottled water as well.,Great taste!,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/product-reviews/B00IK5A4U8/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Me,water filter_#N/A_B00IK5A4U8_Me_31_164, , ,AM, 
 ,#N/A,water filter,"Style Name:Improved Packaging
PUR 18 Cup Displenser w/ One Filter",https://images-na.ssl-images-amazon.com/images/I/61PORpfjl3L._SX355_.jpg,B00IK5A4U8,4.2,PUR 18 Cup Water Filtration Dispenser w/ 1 Filter,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/dp/B00IK5A4U8/ref=sr_1_3?ie=UTF8&qid=1498726227&sr=8-3&keywords=water+filter,water filter_#N/A_B00IK5A4U8,$24.98,2017-06-27 00:00:00,5.0,As advertised,Five Stars,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/product-reviews/B00IK5A4U8/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,KB,water filter_#N/A_B00IK5A4U8_KB_2_13, , ,AM, 
 ,#N/A,water filter,"Style Name:Improved Packaging
PUR 18 Cup Displenser w/ One Filter",https://images-na.ssl-images-amazon.com/images/I/61PORpfjl3L._SX355_.jpg,B00IK5A4U8,4.2,PUR 18 Cup Water Filtration Dispenser w/ 1 Filter,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/dp/B00IK5A4U8/ref=sr_1_3?ie=UTF8&qid=1498726227&sr=8-3&keywords=water+filter,water filter_#N/A_B00IK5A4U8,$24.98,2017-06-27 00:00:00,5.0,I have had this in past and dropped it and needed to replace. I looked at other brands but came back to this. I have dirt in local water and use an portable ice maker and I found dirt in the bottom so I ordered. I not longer have dirt in my ice. The water taste better also. I have not had problem with the filter as some have said.,Great for the price and easy to fill.,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/product-reviews/B00IK5A4U8/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Sandra,water filter_#N/A_B00IK5A4U8_Sandra_70_332, , ,AM, 
 ,#N/A,water filter,"Style Name:Improved Packaging
PUR 18 Cup Displenser w/ One Filter",https://images-na.ssl-images-amazon.com/images/I/61PORpfjl3L._SX355_.jpg,B00IK5A4U8,4.2,PUR 18 Cup Water Filtration Dispenser w/ 1 Filter,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/dp/B00IK5A4U8/ref=sr_1_3?ie=UTF8&qid=1498726227&sr=8-3&keywords=water+filter,water filter_#N/A_B00IK5A4U8,$24.98,2017-06-26 00:00:00,2.0,Filter is absolutely horrible on this; slower than molasses honestly. I'm hesitant to buy replacement filters as I've read this is a common issue with PUR products. Would love the product if it actually processes the water through the filter efficiently...,Slow filter,https://www.amazon.com/PUR-Water-Filtration-Dispenser-Filter/product-reviews/B00IK5A4U8/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,"C, Johnson","water filter_#N/A_B00IK5A4U8_C, Johnson_41_256", , ,AM, 
