n_gram,food,food_sec,food_pri,food_Light/trad,food_wholesome/salty snacks,food_packaged/nonpackaged,products,products_pri,brand,emotion,emotion_sec,emotion_pri,location,location_pri,companion,companion_sec,companion_pri,tod,tod_pri,technical,technical_pri,functional,functional_pri,activity,activity_pri,beverage,beverage_sec,beverage_pri
sementes de chia,sementes de chia,nuts/seeds,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
sementes de linhaca,sementes de linhaca,nuts/seeds,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
semillas de calabaza,semillas de calabaza,nuts/seeds,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
semillas de canamo,semillas de canamo,nuts/seeds,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
semillas de chia,semillas de chia,nuts/seeds,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
semillas de linaza,flax,nuts/seeds,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
senior citizen,,,,,,,,,,,,,,,senior citizen,friends,pair,,,,,,,,,,,
sensacoes,sensacoes,snacks,light food,light food,salty snacks,packaged food,sensacoes,sensacoes,sensacoes,,,,,,,,,,,portable,portable,rte,rte,,,,,
serve others,,,,,,,,,,,,,,,,,,,,,,serve others,serve others,,,,,
serve to guests,,,,,,,,,,,,,,,,,,,,,,serve to guests,social,,,,,
sesame,sesame,nuts/seeds,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
shame,,,,,,,,,,shame,dislike,negative,,,,,,,,,,,,,,,,
share with family,,,,,,,,,,,,,,,,,,,,,,sharing,social,,,,,
sharing,,,,,,,,,,,,,,,,,,,,,,sharing,social,,,,,
shock,,,,,,,,,,shock,superlative,positive,,,,,,,,,,,,,,,,
shocked,,,,,,,,,,shock,superlative,positive,,,,,,,,,,,,,,,,
shocking,,,,,,,,,,shock,superlative,positive,,,,,,,,,,,,,,,,
shop,,,,,,,,,,,,,shop,outside,,,,,,,,,,shopping,leisure,,,
shopping,,,,,,,,,,,,,shop,outside,,,,,,,,,,shopping,leisure,,,
short macchiato,,,,,,,,,,,,,,,,,,,,,,,,,,macchiato,coffee,non alcoholic
shortbread,shortbread,wholesome snacks,wholesome snacks,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
shoyu,shoyu,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,rte,rte,,,,,
shredded greens,shredded greens,veggies,veggies,light food,,,,,,,,,,,,,,,,,,,,,,,,
shrimp,shrimp,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
sibling,,,,,,,,,,,,,,,sibling,family,small group,,,,,,,,,,,
siblings,,,,,,,,,,,,,,,siblings,family,small group,,,,,,,,,,,
sing,,,,,,,,,,,,,,,,,,,,,,,,singing,leisure,,,
singing,,,,,,,,,,,,,,,,,,,,,,,,singing,leisure,,,
sis,,,,,,,,,,,,,,,sister,family,small group,,,,,,,,,,,
sissy,,,,,,,,,,,,,,,sister,family,small group,,,,,,,,,,,
sister,,,,,,,,,,,,,,,sister,family,small group,,,,,,,,,,,
sit out,,,,,,,,,,,,,sit out,outside,,,,,,,,,,,,,,
skwinkles,skwinkles,wholesome snacks,wholesome snacks,light food,wholesome snacks,packaged food,skwinkles,skwinkles,skwinkles,,,,,,,,,,,portable,portable,rte,rte,,,,,
skwinklote,skwinklote,wholesome snacks,wholesome snacks,light food,wholesome snacks,packaged food,skwinklote,skwinklote,skwinklote,,,,,,,,,,,portable,portable,rte,rte,,,,,
smell,,,,,,,,,,,,,,,,,,,,,,smell,aroma,,,,,
smells,,,,,,,,,,,,,,,,,,,,,,smell,aroma,,,,,
smoke pot,,,,,,,,,,,,,,,,,,,,,,smoke pot,smoke pot,,,,,
smoking,,,,,,,,,,,,,,,,,,,,,,,,smoking,day to day activities,,,
smoking pot,,,,,,,,,,,,,,,,,,,,,,smoke pot,smoke pot,,,,,
smoothie,,,,,,,,,,,,,,,,,,,,,,,,,,smoothies,smoothies,non alcoholic
smoothies,,,,,,,,,,,,,,,,,,,,,,,,,,smoothies,smoothies,non alcoholic
smoothies de chia e frutas tropicais,,,,,,,smoothies de chia e frutas tropicais,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
smoothies maca e banana,,,,,,,smoothies maca e banana,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
smoothies maca e uva,,,,,,,smoothies maca e uva,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
smoothies maca framboesa e uva,,,,,,,smoothies maca framboesa e uva,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
snack,snack,snacks,light food,light food,,,,,,,,,,,,,,,,,,,,,,,,
snack bar,snack,bars,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
snacks,snack,snacks,light food,light food,,,,,,,,,,,,,,,,,,,,,,,,
snacks de frutas,snack,wholesome snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
snow ball,,,,,,,,,,,,,,,,,,,,,,,,,,snow ball,cocktails,alcoholic
social,,,,,,,,,,,,,,,,,,,,,,social,social,,,,,
social sharing,,,,,,,,,,,,,,,,,,,,,,social,social,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,,,,,soda,soda,non alcoholic
soggy,,,,,,,,,,,,,,,,,,,,soggy,textures,,,,,,,
solidarity,,,,,,,,,,solidarity,solidarity,solidarity,,,,,,,,,,,,,,,,
solitude,,,,,,,,,,,,,,,solitude,alone,alone,,,,,,,,,,,
solo,,,,,,,,,,,,,,,solo,alone,alone,,,,,,,,,,,
son,,,,,,,,,,,,,,,son,family,small group,,,,,,,,,,,
sons,,,,,,,,,,,,,,,sons,family,small group,,,,,,,,,,,
sopes,sopes,traditional dishes,light food,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
sorbet,sorbet,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
sorry,,,,,,,,,,sorry,dislike,negative,,,,,,,,,,,,,,,,
sorvete,sorvete,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
soup,soup,soup,light food,light food,,,,,,,,,,,,,,,,,,,,,,,,
sour,,,,,,,,,,,,,,,,,,,,sour,textures,,,,,,,
sourdough,sourdough,breads,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
soy,soy,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
soya,soya,ingredients,ingredients,,,,,,,,,,,,,,,,,,,,,,,,,
soybean,soybean,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
soylait original,,,,,,,soylait original,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
soytoast,soytoast,snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,,,,,,,,,
soytoast cebola & salsa,,,,light food,,,soytoast cebola & salsa,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
soytoast ervas finas,,,,,,,soytoast ervas finas,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
soytoast natural,,,,,,,soytoast natural,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
sparkling,,,,,,,,,,,,,,,,,,,,sparkling,beverages,,,,,,,
sparkling apple cider,,,,,,,,,,,,,,,,,,,,,,,,,,sparkling apple cider,juices,non alcoholic
sparkling water,,,,,,,,,,,,,,,,,,,,,,,,,,sparkling water,water,non alcoholic
sparkling water,,,,,,,,,,,,,,,,,,,,,,,,,,sparkling water,water,non alcoholic
sparklingwater,,,,,,,,,,,,,,,,,,,,,,,,,,sparkling water,water,non alcoholic
speak,,,,,,,,,,,,,,,,,,,,,,,,speaking,day to day activities,,,
spoke,,,,,,,,,,,,,,,,,,,,,,,,speaking,day to day activities,,,
speaking,,,,,,,,,,,,,,,,,,,,,,,,speaking,day to day activities,,,
special,,,,,,,,,,special,affection/longing,positive,,,,,,,,,,,,,,,,
special flaked cornmeal,special flaked cornmeal,cereal,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
special k biscuit moments,,,,light food,,,special k biscuit moments,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k blueberry bliss chewy snack bars,,,,,,,special k blueberry bliss chewy snack bars,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k cheese and raspberry cheese flavor,,,,,,,special k cheese and raspberry cheese flavor,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k chocolate and strawberry flavor,,,,,,,special k chocolate and strawberry flavor,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k chocolate delight,,,,,,,special k chocolate delight,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k chocolate flavor,,,,,,,special k chocolate flavor,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k cracker crisps,,,,,,,special k cracker crisps,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k crisp apple flavor,,,,,,,special k crisp apple flavor,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k crisp strawberry,,,,,,,special k crisp strawberry,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k fruit temptation,,,,,,,special k fruit temptation,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k mini breaks,,,,,,,special k mini breaks,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k mini brownies chocolate and caramel flavor,,,,,,,special k mini brownies chocolate and caramel flavor,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k mini brownies dual chocolate flavor,,,,,,,special k mini brownies dual chocolate flavor,special k,kelloggs,,,,,,,,,,,,,,,,,,,
