rid,rTitle,rText
bmw1111,Chargers at Shell petrol stations,"I contacted Shell UK and asked the following question:

I read that Shell UK are teaming up with another organisation who will be installing rapid charge points for electric vehicles in a number of service stations. As an electric vehicle owner and driver I think this is a great idea. Are you able to put any timescale on when I might be able to confidently drive my electric vehicle and know for certain that the majority of Shell UK petrol stations have a working charge point available for me to use?

Their reply was:
Thank you for writing to Shell and we appreciate the opportunity to address your concern.

We will be rolling out 50kw charge posts at selected Shell stations starting September 2017. These chargers will be compatible with all EV charging connections and we will be able to roll out 10 by the end of the year.

Should you have any other concerns, please do not hesitate to email us back.

Once again thank you for contacting Shell UK.
					 "
bmw1112,Chargers at Shell petrol stations,"Maybe they're downsizing to fewer than 20 Shell filling stations? Otherwise the answer simply means they didn't properly read your letter.

Sent from my Pixel C using Tapatalk
					 "
bmw1113,Chargers at Shell petrol stations,"Yes I suspect they either didn't understand the question or location and timescale decisions are taken at top level and the person who answered couldn't be bothered to ask. Sad really isn't it!
					 "
bmw1114,Chargers at Shell petrol stations,"I expect they understood the question perfectly but didn't want to answer it.
					 "
bmw1115,Chargers at Shell petrol stations,"Thank them and ask if that have a list of which those 10 stations will be.  Then you can share so others can plan around them too

Putting in a charger, especially a high current one, can cost a lot more than just the post,  especially if they have to upgrade electrical service to accommodate it.  They probably picked the 10 cheapest stations to install chargers at, not the 10 that get them the best coverage.
					 "
bmw1116,Chargers at Shell petrol stations,"Can you also point out that 50kW is really behind the curve now. There are 100kW capable EVs and chargers, so it would be bonkers to install 50kW. Old tech.

You can say if they did put in 100kW then that would become a serious option for drivers who could stop for just 12 minutes charge (as long as it takes me to wait for a liquefied dinosaur pump sometimes!) and receive 100 EV miles of charge (in the situation that they could reach the 100kW rate - as we know it is variable).

That is a seriously useful charge rate, and more importantly...... the faster they charge, the more customers they can get through!

I'd send that myself, but I got an incredibly bad bit of treatment at a 'franchise' shell garage a year or so ago and vowed never to use them again. If I wrote, then my email would be interspersed with a series of unconstructive derogatory comments. e.g. I'd ask them when they are going to take EV charging seriously, rather than cynically going for a bit of press coverage.
					 "
bmw1117,Chargers at Shell petrol stations,"Good news. The Derby location will be the Shell Station at Willington. Yay. They're also anti subscription and anti hassle so they will be doing contactless payments once they have sorted out the tech issues. It will be app only initially (boo) but it wont be like that forever (hurray).

One thing I didn't know is that Shell have an app for those with limited mobility so they can get assistance at a shell station to help with refuelling their car and getting something from the shop if they want too. So those EV drivers with limited mobility would be catered for.
					 "
bmw1118,Chargers at Shell petrol stations,"srichards said:
				
					?
				
			
		
		Good news. The Derby location will be the Shell Station at Willington. Yay. They're also anti subscription and anti hassle so they will be doing contactless payments once they have sorted out the tech issues. It will be app only initially (boo) but it wont be like that forever (hurray).

One thing I didn't know is that Shell have an app for those with limited mobility so they can get assistance at a shell station to help with refuelling their car and getting something from the shop if they want too. So those EV drivers with limited mobility would be catered for.Click to expand...
	
Any idea When ?  Isuppose it will be in the next four months ? But no ground works when I last visited.

Richard
					 "
bmw1119,Chargers at Shell petrol stations,"Oil companies can shove their chargers up their proverbial arses.

They're only doing it because they've been told to, and I hope that no-one uses them - if they all use contactless payment, then great, as should all other chargers, but the thought of me giving money to an oil company to drive my car sucks.

The sooner those environment wrecking, sharp-practise oil firms fold, the better.
					 "
bmw1120,Chargers at Shell petrol stations,"JohnEV said:
				
					?
				
			
		
		Are you able to put any timescale on when I might be able to confidently drive my electric vehicle and know for certain that the majority of Shell UK petrol stations have a working charge point available for me to use?Click to expand...
	
Nice try! Majority of Shell petrol stations 

I am still sceptical that the leopard won't change it's spots. They will install a few to make it look like they are embracing the future, but IMO do all they can to slow it down and push PHEVs (and hydrogen?) as the solution.

50kW chargers make perfect sense as highlights how much quicker it is to fill up using fossil fuel. One rapid per site so if it doesn't work or is already in use they can highlight how much more convenient fossil fuel is, as even a busy pump is soon free again.
					 "
