rid,rTitle,rText
car_1,Great reliable premium SUV,"Execent SUV. It's a very reliable, luxury, confortable, spacious and fun ride to drive. An excelent quality interior materials. Only its gas mileage is not so good even on Eco mode, which I use most of the times."
car_2,"2015 BMW X3 DIESEL 31,000 MILES SINCE JUNE 2015","We like the car.  However its a diesel, and with the german car manufacturer cheating, VW and Audi diesels have lost some of their luster.  However we still get over 37MPG on the highway.  Live in Maine so it's mostly highway milage.  Have had an oxygen sensor and another exhaust sensor replaced under warranty.  Not thrilled by the run-flat tires.  No jack or tools came with the car!!"
car_3,Love my Bimmer,"This is a great SUV to own, being a driving enthusiast I always dreamed to own one...BMW, even though on pricier side, this is an ultimate luxe SUV to own"
car_4,Only one problem with this car,"The X3 is my second BMW, the other being a 330 CI. Absolutely love everything about this car with one major exception - the stereo flat out sucks.  A car in this price range should come standard with a high end sound system.  My 2003 330 has the Harmon Kardon upgraded stereo which is very good but the standard system on my 2015 X3 stinks.  The stereo in my Honda Accord is actually better."
car_5,Love love love this car!!!,Love love love this car!!!
car_6,Best Ever SAV,This is by far the best SUV/SAV I have ever driven.  Quick and agile.  Nothing else compares.
car_7,Good so far,Good so far
car_8,This is my 2nd X3.  It proves once again the best car of its class.,"I owned my first X3 since 2011.Now I traded it for Diesel engine and LCI treatment.I couldn't be happier.I love the new look, and I averaged 32 MPG in first 800 miles.I am happy I chose X3 over others."
car_9,CPO is the way to go,"If you want the USB to actually be universal, you have to option the car with the expensive navigation, which I didn't, buying used, not knowing the USB wasn't. I've never used the sunroof, but love the heated steering wheel in the winter. Good little power packed mini SUV with great steering."
car_10,Still evaluating,Did not come with xm radio or zenon lights...
car_11,6 months owned still loving it,"Great car it is the ultimate driving experience, nothing compares. Handling, acceleration all fantastic. Would buy again. All still true after 6 months of owning."
car_12,Great car for a great price,"This is a fun little SAV with all the benefits of a sedan in terms of driveability (used to drive a 2006 325i), and many of the benefits of a bigger SUV as well.  Steering, handling, acceleration, and ride comfort are all outstanding, as BMW's should be, while the interior is simple yet luxurious with the premium or ultimate package.  I would highly recommend this vehicle for small families or outdoorsy singles, esp in colder climates."
car_13,Love this Car,Tires have to be replaced at 40000
car_14,Honestly still love the car - sure footed in snow,"This is a great car that still does everything well. I live in the North East where snow, ice, rain and cold weather rule here. I feel incredibly comfortable ( I am 6,2"" and it took some time, but now I am used it b) driving this X1 around New England. Mine is the Valencia Orange that is pictured, I like it because the color is very rare around where I live. I have only seen 3/4 including my own. Mine is decked out with everything, the Ultimate Package. The seats heat up fast the steering wheel warmer is an awesome feature that every car in New England should have. I love the look of the car because it is super sporty and turns heads. Just a great looking BMW. Currently wife and I are thinking whether to keep it or not, because we really enjoy the car a lot, but just bought a new truck and we really don't need three vehicles, but it's super hard to sell it because how we feel owning the car - and I think we might regret it if we did. We use this care to go to the beach, driving to work and basically just for traveling and goofing off. Now to the car itself :  The idea of run-flat tires was a good one, but not practical. The car handles like a BMW sports sedan and accelerates in all modes, I love the sport and manual mode. My wife drive it in the automatic regular driving mode. This car is very, very reliable mechanically. The New 8-speed transmission is mated fantastically well with the 2.8 turbo. Our driveway has a slight grade to it that requires our trucks sometimes to be in 4WD mode when we go up it in snow and ice. But the X1 shoots right up it very well all the time. The AWD for this vehicle is amazing, I feel super safe driving the car because the weight of the car and the handling and traction control especially when driving in the snow. The oil changes are every 14/15K miles but we usually do ours around 10K. All and all BMW made a great car here that we totally admire and love to drive.  Really the only maintenance for us has been the oil changes. I honestly feel that the quality of the engine and transmission we should be able to get 225-250K all day long. Take care of it and it will take care of you. I mentioned the car is heavy feeling and it is - if you were to get into an accident all the air bags and shear weight of the vehicle will protect you. As far as mileage goes that kinda subjective - I get between 30-34 on the hwy and 25 in the city, so Audi's cannot even come close to this. If you can find one with Navigation, you should get it, as it pretty much uses the same Nav in all the upper end Beamers."
car_15,My love BMW X1,The problem is went you trust the BMW and buy extended guaranty and you think I’m good but you realize you take you car and trust this people but  they don’t do good check in you car and they wait for the garantía finish and coming with all this repair.. so now I ask my self why I expend all this money for nothing
car_16,Adorable Car!,"I didn't expect to be able to afford this car but I'm so glad I looked!  In the price range it is so far ahead of the others we looked at.  I still haven't used the technology but I expect it to be great, as everything else is.  I was hoping to buy a car with a little more storage, but again, I'm glad I looked at this car anyway.  It really has plenty of room.  I love my X1!"
car_17,"We call her Cherry Velatte', because she IS cherry","You should get better gas mileage than the stated amount.  You will be glad it is so quiet.  We love it, and in the process of buying a new one right now."
