rid,rTitle,rUser,rText,rURL,MEDIA_PROVIDER,PUBLISH_DATE,VIEW_COUNT,COMMENT_COUNT,UNIQUE_COMMENTERS,ENGAGEMENT,LIKES_AND_VOTES,INBOUND_LINKS,FORUM_THREAD_SIZE,FOLLOWING,FOLLOWERS,UPDATES,BLOG_POST_SENTIMENT
57781095,Bastidores das mudanças: Deputados desfiguraram o projeto anticorrupção na madrugada,," de improbidade administrativa. Outras medidas que não constavam no projeto original, como a anistia ao caixa 2 e a criação da figura do ""reportante do bem"" também caíram. Ao final da votação, o relator do projeto, o deputado Onyx Lorenzoni (DEM-RS) afirmou que o texto estava sendo ""dizimado"". ""Do jeito que vai...",http://noticias.uol.com.br/politica/listas/como-deputados-desfiguraram-o-projeto-anticorrupcao-na-madrugada.htm,Mainstream Media,42704,0,0,0,0,0,0,0,0,0,0,Neutral
61739128,TWEET FROM: RAFAJUNINA,RAFAJUNINA,nossa vc é tão bonita que parece uma tijela de açaí com banana e granola,http://twitter.com/431222203/statuses/804029777929764876,TWITTER,42704,0,0,0,0,0,0,0,140,210,4691,Neutral
61820024,TWEET FROM: PEZZAGROWN,PEZZAGROWN,"RT @portallovato PEOPLE: Demi Lovato se abre sobre seu transtorno bipolar: ""Eu sou prova viva de viver bem"" com doenças mentais https://t.co/w2KPhguvax https://t.co/N9JzGU4mCm",http://twitter.com/2949348237/statuses/804029867423657984,TWITTER,42704,0,0,0,0,0,0,0,1028,1922,120033,Neutral
61864008,TWEET FROM: NAVEGANTESREST,NAVEGANTESREST,Cardápio de hoje no #NavegantesFoodTruck esta #CheioDeEncantos nos dominios da Lavô Eco-Lavanderia e Cultiva - Armazém Do Bem #esperamosvoce https://t.co/9wCWHpuEej,http://twitter.com/50135985/statuses/804029919177113600,TWITTER,42704,0,0,0,0,0,0,0,304,526,9616,Neutral
61864228,TWEET FROM: SLAJOVEN,SLAJOVEN,RT @murilomeloquero tudo criado com cereal no prato as 6 da manhã e quer bostejar,http://twitter.com/235125235/statuses/804029902265655296,TWITTER,42704,0,0,0,0,0,0,0,304,393,2535,Neutral
61884494,TWEET FROM: DBRAGAJR,DBRAGAJR,Cardápio de hoje no #NavegantesFoodTruck esta #CheioDeEncantos nos dominios da Lavô Eco-Lavanderia e Cultiva - Armazém Do Bem #esperamosvoce https://t.co/WFPty73X0V,http://twitter.com/62291333/statuses/804029919076487168,TWITTER,42704,0,0,0,0,0,0,0,57,22,515,Neutral
61898458,TWEET FROM: JESILLVA1,JESILLVA1,"@larysgms açúcar, leite, Nescau e manteiga... Mexe tudo, quando começa a desgrudar da panela tá pronto",http://twitter.com/4794431926/statuses/804029969282244608,TWITTER,42704,0,0,0,0,0,0,0,271,139,1925,Neutral
61956210,TWEET FROM: GABYSHLOTEFELDT,GABYSHLOTEFELDT,minha mami me ligou dizendo que amanhã vamos na Ritter ver a questão da matricula,http://twitter.com/2408021078/statuses/804030041424330754,TWITTER,42704,0,0,0,0,0,0,0,437,485,39579,Neutral
62056835,TWEET FROM: BRUNAWEBER16,BRUNAWEBER16,Fiz um bolo de fubá para o café da tarde e um tabuleiro de Cuzcuz para levar amanhã de manhã para a escola,http://twitter.com/2828018255/statuses/804030046356832257,TWITTER,42704,0,0,0,0,0,0,0,961,1214,18211,Neutral
62069231,TWEET FROM: ERICKJVIEIRA,ERICKJVIEIRA,"RT @magnoow nao faz sentido isso, se deus e um cara pra ser do bem entao ele iria querer q ninguem morresse iria querer todos vivos com saude feliz",http://twitter.com/461192569/statuses/804030085607071744,TWITTER,42704,0,0,0,0,0,0,0,230,305,13795,Neutral
62104140,TWEET FROM: TADDEI_PIRATINI,TADDEI_PIRATINI,Só  podia ser corrupto. Gente do bem não faria isso https://t.co/Tb6QyHZqQg,http://twitter.com/127023326/statuses/804030138342113286,TWITTER,42704,0,0,0,0,0,0,0,3730,3836,41296,Neutral
62119514,TWEET FROM: OLHOSVERDES00,OLHOSVERDES00,RT @explicaseries 3% lado de cá lado de lá ninguém sabe quem é do bem e quem é do mal DEVOLVE MEU CUBO,http://twitter.com/789851745606311936/statuses/804030166599139333,TWITTER,42704,0,0,0,0,0,0,0,79,43,599,Neutral
62273710,TWEET FROM: CLARAFULSS,CLARAFULSS,alguém afasta as caixas de barrinha de cereal de mim pelo amor vou comer tudo,http://twitter.com/368877550/statuses/804030309067067392,TWITTER,42704,0,0,0,0,0,0,0,1733,2450,92553,Neutral
62274833,TWEET FROM: TROPAPRODUCOES,TROPAPRODUCOES,"Eu vou da flores pra você no café da manhã, te acordar com beijos cheios de amor fazer por onde merecer seu carinho e calor �",http://twitter.com/2190142261/statuses/804030232504238092,TWITTER,42704,0,0,0,0,0,0,0,200,3312,14288,Neutral
62301604,TWEET FROM: NCB_FLU,NCB_FLU,"Dudu: ""Eram pessoas do bem, trabalhadoras, que deixam famílias, amigos e filhos. Recebi a notícia pela manhã, com meu irmão me ligando.""",http://twitter.com/737309116432056320/statuses/804030255577071616,TWITTER,42704,0,0,0,0,0,0,0,34,1739,5948,Neutral
62320278,TWEET FROM: _ADAMIB,_ADAMIB,"RT @portallovato PEOPLE: Demi Lovato se abre sobre seu transtorno bipolar: ""Eu sou prova viva de viver bem"" com doenças mentais https://t.co/w2KPhguvax https://t.co/N9JzGU4mCm",http://twitter.com/740537180997750784/statuses/804029851795652608,TWITTER,42704,0,0,0,0,0,0,0,195,253,6953,Neutral
62424227,TWEET FROM: BUTERARUMORS,BUTERARUMORS,RT @AlissaViolet breakfast in bed please,http://twitter.com/2442502647/statuses/804030407738064896,TWITTER,42704,0,0,0,0,0,0,0,1048,928,12030,Neutral
62480634,TWEET FROM: HUGOFABRICIOS,HUGOFABRICIOS,"em casa no café da manhã, após almoço, durante o serviço, pós serviço, e depois da janta. https://t.co/oQ3scX4Kgd",http://twitter.com/145059186/statuses/804030458224869376,TWITTER,42704,0,0,0,0,0,0,0,1965,2068,121072,Neutral
62539858,TWEET FROM: PAULONICO,PAULONICO,"RT @cartamaior Em nome do bem vindo combate à corrupção,partidarizaram o judiciário, destruíram a cadeia do petróleo e as empreiteiras e chantageiam o país https://t.co/QGjE8kaeGn",http://twitter.com/59259347/statuses/804030538730373125,TWITTER,42704,0,0,0,0,0,0,0,558,140,2608,Neutral
62679558,TWEET FROM: WHYHOYNE,WHYHOYNE,"RT @portallovato PEOPLE: Demi Lovato se abre sobre seu transtorno bipolar: ""Eu sou prova viva de viver bem"" com doenças mentais https://t.co/w2KPhguvax https://t.co/N9JzGU4mCm",http://twitter.com/836304967/statuses/804030585979146241,TWITTER,42704,0,0,0,0,0,0,0,1115,1375,69244,Neutral
62815363,TWEET FROM: NICKOLIVEIRA127,NICKOLIVEIRA127,"Uma coisa é SER MULHER SOLTEIRA ,outra coisa é ser marmita oferecida hahahah",http://twitter.com/4595008860/statuses/804030817521565696,TWITTER,42704,0,0,0,0,0,0,0,208,160,2290,Neutral
62892798,TWEET FROM: MUMUFORS,MUMUFORS,"dias assim são legais porque quando tu menos espera o cara maromba da loja do lado vem e te traz barra de cereal pq ""passei aq te vi triste""",http://twitter.com/3114365909/statuses/804030883497988096,TWITTER,42704,0,0,0,0,0,0,0,35,39,1571,Neutral
62936298,TWEET FROM: J0NATODRAUHL,J0NATODRAUHL,https://t.co/nUIJZ3X2oM,http://twitter.com/565555764/statuses/804030897234264064,TWITTER,42704,0,0,0,0,0,0,0,2214,2612,118614,Neutral
63016974,TWEET FROM: ERUDITE_COOKIE,ERUDITE_COOKIE,RT @troyesivan here it is!!!!!! the Lil Suburbia Tour Vlog <3 https://t.co/iT3ryRsYBY,http://twitter.com/502036664/statuses/804031000225468416,TWITTER,42704,0,0,0,0,0,0,0,2272,1594,36331,Neutral
63122434,TWEET FROM: DEBY_COOKIE,DEBY_COOKIE,"RT @pjtrickmaster Retweet para ganhar seguidores, siga quem retweetou e siga de volta todos que te seguiu. ��",http://twitter.com/4860625857/statuses/804031101610168324,TWITTER,42704,0,0,0,0,0,0,0,850,908,9224,Neutral
63125691,TWEET FROM: CARLOSANDRE144,CARLOSANDRE144,Nescau pós almoço,http://twitter.com/135369120/statuses/804031114352455680,TWITTER,42704,0,0,0,0,0,0,0,1098,864,46303,Neutral
63168307,TWEET FROM: PEDROPALESTRINO,PEDROPALESTRINO,RT @landoffacts Morning donuts. https://t.co/38AIdwqieW,http://twitter.com/3072844007/statuses/804031134451597313,TWITTER,42704,0,0,0,0,0,0,0,3555,6656,86897,Neutral
63175092,TWEET FROM: DEBY_COOKIE,DEBY_COOKIE,"RT @FTrickHP Retweet para ganhar seguidores, siga quem retweetou e siga de volta quem te seguiu. �",http://twitter.com/4860625857/statuses/804031121348558850,TWITTER,42704,0,0,0,0,0,0,0,850,908,9225,Neutral
63204322,TWEET FROM: LORRAINE_FERES,LORRAINE_FERES,"RT @portallovato PEOPLE: Demi Lovato se abre sobre seu transtorno bipolar: ""Eu sou prova viva de viver bem"" com doenças mentais https://t.co/w2KPhguvax https://t.co/N9JzGU4mCm",http://twitter.com/2497335329/statuses/804031195499659266,TWITTER,42704,0,0,0,0,0,0,0,175,260,3513,Neutral
63359710,TWEET FROM: IIGHTYWEIGHT,IIGHTYWEIGHT,RT @portallovato “Eu tenho fãs que lidam com todos os tipos de doenças mentais então isso é muto importante para eles.” https://t.co/w2KPhguvax,http://twitter.com/1413824359/statuses/804031360839065600,TWITTER,42704,0,0,0,0,0,0,0,384,1042,22360,Neutral
63421465,TWEET FROM: SEOKSOBER,SEOKSOBER,RT @ItsFoodPorn Cookie Dough Milkshake https://t.co/talnLGTLSF,http://twitter.com/2314278355/statuses/804031424206667776,TWITTER,42704,0,0,0,0,0,0,0,2992,2190,17205,Neutral
63481283,TWEET FROM: BADGALSAMI,BADGALSAMI,no açaí eu pedi granola e veio milhares de uvas passas de graça,http://twitter.com/2921604556/statuses/804031488945778688,TWITTER,42704,0,0,0,0,0,0,0,5346,6121,20506,Neutral
63497209,TWEET FROM: THAMY_WETSCHKY,THAMY_WETSCHKY,Nescau é tudo,http://twitter.com/178115189/statuses/804031495706972160,TWITTER,42704,0,0,0,0,0,0,0,395,670,16813,Neutral
63497845,Deputados proíbem recompensa e proteção a quem denunciar corrupção; veja como cada um votou,,Início » Notícias » Deputados proíbem recompensa e proteção a quem denunciar corrupção; veja como cada um votou Deputados proíbem recompensa e proteção a quem denunciar corrupção; veja como cada um votou Emenda tinha o objetivo de criar a figura do “reportante do bem” para incentivar o cidadão a denunciar cri...,http://feedproxy.google.com/~r/congresso/~3/31WtNdS7m8E/,Mainstream Media,42704,0,0,0,0,0,0,0,0,0,0,Neutral
63535687,TWEET FROM: NARRYSTUPID,NARRYSTUPID,toddy https://t.co/bq5dVV5XLs,http://twitter.com/2364873463/statuses/804031530859433988,TWITTER,42704,0,0,0,0,0,0,0,11423,16514,46906,Neutral
